"Qualifying Name","Name of Area","FIPS","Nation","State","County","Physically Unhealthy Days per Month","Mentally Unhealthy Days per Month","Adults That Report Fair or Poor Health","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Other Primary Care Providers (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100 000 Population","Dentists Rate per 100 000 Population","Health Care Costs Price-adjusted Medicare Reimbursements","Percent Persons Without Insurance (Population Under 19 Years)","Percent Persons Without Insurance (Population Under 65 Years)","Persons Without Insurance (Population Under 19 Years)","Persons Without Insurance (Population Under 65 Years)","Years of Potential Life Lost (YPLL) Rate per 100 000 Population (Less than 75 Years)","Child Mortality (Death Counts)","Premature Age-adjusted mortality","Drug Poisoning Mortality","Child Mortality Rate","Premature Age-adjusted mortality rate per 100 000 Population","Drug Poisoning Mortality Rate per 100,000 Population","Infant Mortality (Death Counts)","Infant Mortality Rate per 1 000 Live Births","Diabetic Medicare Enrollees Receiving Hba1c Test","Chlamydia Cases","HIV Prevalence","Chlamydia Cases Rate per 100 000 Population","HIV Prevalence Rate per 100,000 Population","Persons with Limited Access to Healthy Foods","Children Eligible for Free Lunch (Persons < 18 Years)","Food Environment Index","Air Pollution Particulate Matter Average Daily PM2.5","Presence of Drinking Water Violations","Percentage Of Households with Severe Housing Problems","Percent of Driving Alone to Work","Long Commute Driving Alone Workers Who Drive Alone","Percent of Long Commute Driving Alone Workers Who Drive Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T002_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T005_001,SE_T006_001,SE_T006_002,SE_NV005_001,SE_NV005_002,SE_T007_001,SE_T008_001,SE_T008_002,SE_T008_003,SE_NV006_001,SE_NV006_002,SE_NV006_003,SE_T014_001,SE_NV009_001,SE_T009_001,SE_T010_001,SE_T010_002,SE_NV008_001,SE_NV008_002,SE_T012_001,SE_T012_002,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_007,SE_T016_008,SE_T016_009
"Autauga County, Alabama","Autauga County","01001","00","01","001",4.2005779826,4.3067392835,18.411124355,25,7,18,28.87253,12.63173,32.48159,10674.34,2.5953130465,12.193091968,371,4102,9409.2947663,31,827,17,56.186903014,449.6,10.231225701,34,7.7185017026,711,189,103,341.2,225.5,6543.6768239,48.475387657,7.1,10.8,"No",15.217926619,86.750061723,21082,40.8
"Baldwin County, Alabama","Baldwin County","01003","00","01","003",4.0987477691,4.2496487805,18.060457821,148,186,103,43.6319,89.18169,49.38556,9537.12,3.2734385075,14.71986088,1523,17437,7467.5966638,85,2753,113,47.688777428,351.3,18.452504397,85,5.5454070981,2615,678,282,338.8,163.9,9886.831137,45.795480263,7.9,9.6,"No",14.310156036,84.646043332,73058,40.1
"Barbour County, Alabama","Barbour County","01005","00","01","005",5.0674383044,4.634994147,25.773415631,11,2,9,26.95937,7.70268,34.66205,9790.62,3.6341505825,17.401550859,209,2289,8929.4749816,15,418,,66.595631327,433.6,,,,525,150,97,557.9,436,2948.790251,66.302610549,5.5,10.1,"No",15.254237288,82.784925424,7271,35.1
"Bibb County, Alabama","Bibb County","01007","00","01","007",4.3633772783,4.3157100192,19.996911856,12,2,5,75.07839,8.83275,22.08188,10755.78,3.1412523403,15.070568535,151,1890,11741.938889,22,408,15,116.31595643,529.1,22.146105238,25,14.775413712,333,68,37,302.1,191.9,596.16282881,61.318482842,7.6,10.5,"No",12.358757062,85.072463768,7044,48.8
"Blount County, Alabama","Blount County","01009","00","01","009",4.5127526482,4.7015992588,21.095323159,12,5,11,12.13087,8.66491,19.0628,10326.33,4.489531621,17.699115044,624,6040,9359.1223433,30,996,37,55.375073833,480.2,21.375421731,25,5.2943667937,705,66,46,114.3,95.4,1650.9594817,54.520166898,8.5,11.3,"No",11.058036781,86.107728337,18384,60.2
"Bullock County, Alabama","Bullock County","01011","00","01","011",5.2266193898,4.7919184772,29.407713883,3,1,2,77.20517,9.65065,19.30129,10314.38,3.213028169,19.150943396,73,1015,12343.052871,12,209,,133.92857143,581.5,,,,212,79,61,733.9,691.3,2154.7892998,67.176079734,4.5,9.8,"No",18.024032043,76.446578631,3184,37.7
"Butler County, Alabama","Butler County","01013","00","01","013",5.1174326174,5.1345730819,26.502613197,7,5,6,55.0055,25.0025,30.003,10176.13,2.750410509,16.039671683,134,1876,12779.304852,19,422,,100.23211648,602.7,,,,539,168,45,827.7,268.4,612.93476079,72.631578947,6.5,9.4,"No",14.839491217,85.086464699,6544,31.7
"Calhoun County, Alabama","Calhoun County","01015","00","01","015",4.2904480661,4.4765721664,19.584701424,75,108,69,50.60596,94.23179,60.20365,10901.19,2.8918406072,14.514502981,762,10078,11527.781204,79,2286,54,77.28958156,564.3,15.600308539,82,8.7597478902,2488,681,206,587.5,211.2,10883.209969,58.868341154,6.8,11.6,"No",15.292171996,84.985916108,38921,29.4
"Chambers County, Alabama","Chambers County","01017","00","01","017",5.0370446678,4.9326462099,25.219835535,16,1,8,14.7741,2.95482,23.63857,9256.66,2.9494194582,16.963848339,221,3463,10350.047581,17,688,,58.560110231,528.8,,20,7.299270073,888,270,106,792.3,366.9,3533.9162159,71.167247387,6.1,10.4,"Yes",18.417266187,88.03986711,12190,32.5
"Cherokee County, Alabama","Cherokee County","01019","00","01","019",4.2779170785,4.6812529447,19.291593453,10,5,4,46.64723,19.43635,15.54908,11470.43,3.1307891812,14.645019629,169,2201,11683.171114,,571,12,,546,15.459733835,,,554,44,20,169,90.1,57.464901716,63.186541316,8.2,10.8,"No",15.778251599,84.596061093,8419,45.9
"Chilton County, Alabama","Chilton County","01021","00","01","021",4.7362771144,4.6255724065,21.465307173,8,17,11,9.10312,38.68824,25.03357,10515.38,4.7627704054,19.470843154,524,5122,11099.683529,24,792,16,56.48387856,516.3,12.138224026,27,6.8947906027,457,135,36,307.3,99.5,637.41952746,61.087433811,8.2,10.5,"No",14.527027027,82.865233472,14339,47.6
"Choctaw County, Alabama","Choctaw County","01023","00","01","023",4.7381487719,4.7562769582,24.111284914,5,,6,30.78581,,46.17871,11241.35,3.723594701,14.674833833,104,1126,11558.654472,,260,,,522.3,,,,425,50,25,375.3,220.3,1010.3791765,56.789297659,6.2,9.6,"No",13.484162896,84.52811972,3502,45.6
"Clarke County, Alabama","Clarke County","01025","00","01","025",5.0341224717,4.8038714851,27.70052858,14,14,7,49.19646,57.39587,28.69793,9935.26,3.1458699473,16.069593808,179,2346,9133.8404263,15,425,,67.45514233,464,,,,508,158,34,633.4,162,2881.5968291,56.484220907,5.2,9.6,"No",13.023493361,83.54762202,6693,34.9
"Clay County, Alabama","Clay County","01027","00","01","027",4.472032396,4.5860482369,20.587634774,4,1,2,44.4708,7.4118,14.8236,9781.85,4.4955044955,17.995184387,135,1420,10235.922515,,279,,,531.4,,,,275,39,22,287.8,190.9,324.18090491,61.729019211,7.8,9.9,"No",16.337522442,87.551096247,4712,37.5
"Cleburne County, Alabama","Cleburne County","01029","00","01","029",4.3509719859,4.6239163437,18.30098389,4,6,1,20.10185,40.2037,6.70062,11134.31,3.7253266611,15.475092251,134,1342,11380.483302,,340,10,,591.9,22.211363333,,,323,38,14,252,111.3,310.17728502,57.772709996,8.1,10.3,"No",13.386524823,82.134529148,4579,50.4
"Coffee County, Alabama","Coffee County","01031","00","01","031",4.5482444526,4.606066663,20.226871409,29,28,17,56.61188,54.65974,33.18627,9855.89,3.6298932384,15.281597904,459,4667,7295.4114989,27,734,12,55.75287024,409.2,7.8254405071,32,6.9914791348,1013,238,61,467.5,143.3,2987.4913441,46.965994706,7.5,9.6,"No",14.016243123,85.725329695,18851,23.3
"Colbert County, Alabama","Colbert County","01033","00","01","033",4.3370482596,4.4916322024,20.249936546,34,14,23,121.73528,25.82264,42.4229,10879.2,3.0556924593,13.356842366,372,4318,10566.513329,37,1026,14,78.919864343,504.3,8.5830068725,39,9.3637454982,1438,258,43,473,93.3,3565.9617444,49.74787849,7.2,10.2,"No",15.70855615,89.532088034,19364,26.1
"Conecuh County, Alabama","Conecuh County","01035","00","01","035",5.5701879313,5.2802804094,29.069514691,5,8,2,16.13554,64.54215,16.13554,10934.61,3.4042553191,18.850543105,96,1371,12051.452106,,272,,,548.5,,,,346,70,28,552.5,262.3,1750.034804,61.31147541,5.1,9.1,"No",18.787276342,93.152144951,3496,38.9
"Coosa County, Alabama","Coosa County","01037","00","01","037",4.824660434,4.7071571194,23.987607606,,1,,9.4509,9.4509,,10704.08,4.047976012,16.242183926,81,1065,9704.4808492,,228,,,521,,,,238,48,14,440.9,149.7,1168.3015357,75.074775673,6.6,10.2,"No",17.885264342,82.534435262,2996,40.1
"Covington County, Alabama","Covington County","01039","00","01","039",4.7699995605,4.7970467132,22.449289189,19,20,13,64.07176,53.39313,34.70554,10886.93,3.1336725254,15.755214302,271,3437,10307.0633,23,743,11,69.062847191,529.5,9.7167136308,25,7.9974408189,957,170,54,448.4,169.9,1650.4538976,56.050955414,7.4,9.2,"No",15.186915888,85.1513019,12100,27
"Crenshaw County, Alabama","Crenshaw County","01041","00","01","041",4.589517957,4.6641646183,22.290602295,2,7,2,86.25027,50.31266,14.37504,10219.74,3.9114614918,16.245312689,129,1343,9452.3237787,,284,,,524.9,,,,293,98,23,701.2,197.5,2369.4517365,65.341670389,6.2,9.5,"No",11.059907834,82.324324324,4569,43.4
"Cullman County, Alabama","Cullman County","01043","00","01","043",4.4965092871,4.7505766135,20.704153557,45,94,39,77.60304,113.97946,47.28935,10123.51,3.7354208259,18.106113699,711,8784,10054.252793,37,1465,65,50.372346943,492.5,26.448029622,43,6.3769835385,1501,274,52,337.1,75.6,2500.3100012,51.625600252,8.2,11.3,"No",14.650192555,86.242887233,27433,35.8
"Dale County, Alabama","Dale County","01045","00","01","045",4.7168411445,4.4415549183,22.613336822,11,39,17,75.16353,79.22643,34.5346,10691.7,2.8450212129,14.856775677,342,4393,7910.2916102,25,788,16,53.759972475,457.9,10.790760411,25,5.1931865393,921,283,112,571.9,273.3,5306.1942111,63.215648855,6.7,9.8,"No",13.610683102,87.093788063,17876,25.9
"Dallas County, Alabama","Dallas County","01047","00","01","047",5.1390385639,5.0755569488,28.705153525,29,18,13,39.992,44.991,32.4935,10329.2,2.420732865,16.206752814,255,3888,12998.984568,29,902,,69.990828788,639.9,,28,6.9825436409,765,430,140,1030.9,415.2,5063.9579224,66.283198409,4.3,10.1,"No",23.739237392,83.990201023,11657,26.9
"DeKalb County, Alabama","DeKalb County","01049","00","01","049",4.5474356903,4.6503286583,23.097445655,29,12,20,52.18618,16.92525,28.20874,10156.38,4.8077988257,22.972074468,868,9674,9760.5207016,35,1250,40,49.972158369,502.9,18.770970694,36,5.9171597633,1258,179,45,251.9,76.7,1540.9068636,60.360065466,8.5,10.7,"No",14.245302081,86.344727799,23870,30.5
"Elmore County, Alabama","Elmore County","01051","00","01","051",4.2276166824,4.4079859115,18.957987718,24,9,11,24.45018,11.00258,13.4476,10031.65,2.8093956954,11.970812375,543,5545,8817.977538,60,1217,23,80.595330844,440.7,9.4168126955,48,7.027818448,1244,340,156,419.9,228.7,5506.0245097,53.392939019,7.6,11.1,"No",11.287786126,86.020782396,28146,46.3
"Escambia County, Alabama","Escambia County","01053","00","01","053",4.8504784353,4.6951595774,24.452623682,15,18,13,34.45717,47.70992,34.45717,11031.84,3.8283062645,20.403576245,330,4085,10773.229997,25,780,30,74.738415546,578.8,26.490066225,27,8.6956521739,865,206,72,545.9,226.4,2766.6088195,69.664715274,6.5,9.1,"No",13.287222424,91.301013888,10716,29.4
"Etowah County, Alabama","Etowah County","01055","00","01","055",4.9820185085,4.9093520355,22.973629311,84,95,52,74.10007,92.62509,50.70005,12308.84,2.9275610802,15.291520157,683,9350,11419.014902,81,2116,55,89.129501865,556.3,17.790601387,89,10.712566201,2168,526,163,508.1,187,9817.0639429,59.472743521,7,11.2,"No",13.3375,85.379568885,34618,28.4
"Fayette County, Alabama","Fayette County","01057","00","01","057",4.5742285702,4.6227692147,19.61169181,17,2,5,24.17503,12.08751,30.21878,11417.23,3.1491860155,15.163681285,118,1473,10281.84983,,352,,,535.1,,,,430,77,14,456.3,98.5,233.52222424,57.885975864,7.7,10,"No",11.486001436,84.711903583,5131,36.2
"Franklin County, Alabama","Franklin County","01059","00","01","059",4.7426679365,4.8541644472,22.409362481,15,3,8,41.10282,9.48527,25.29404,11748.53,4.6834020232,21.283513672,375,3993,11639.524474,23,602,17,74.501166105,560,17.908875428,21,6.9559456774,748,111,12,351.3,46.1,1306.4011726,37.644756157,7.9,9.9,"No",14.495712536,81.593834549,9952,34.1
"Geneva County, Alabama","Geneva County","01061","00","01","061",4.9219445063,4.909681346,23.761594353,7,4,2,18.7871,15.02968,7.51484,10500.24,3.8084341288,20.192678227,233,3144,9969.7011398,16,512,,67.607538241,498.5,,,,710,93,37,348.2,163.7,249.35724741,61.954765751,7.9,9.3,"No",11.834862385,83.297029703,8413,44.9
"Greene County, Alabama","Greene County","01063","00","01","063",5.6448489571,5.2551586158,34.098748427,5,1,1,23.74733,11.87366,11.87366,10073.02,2.9014507254,15.690630048,58,777,14001.428517,,170,,,573.4,,,,218,73,28,853.5,396.6,1930.4269286,85.251491901,3,9.6,"No",15.091463415,83.690987124,1950,50.7
"Hale County, Alabama","Hale County","01065","00","01","065",5.1895385187,4.9825127522,27.475815326,3,1,2,33.44034,6.68807,13.37614,10359.42,3.2284541724,15.570424132,118,1373,10560.721744,10,276,,70.298769772,507.8,,,,330,145,53,955,421.1,732.44710132,66.914774842,6,9.9,"No",19.561551433,89.762821812,4428,44.9
"Henry County, Alabama","Henry County","01067","00","01","067",4.6427827893,4.5446280757,21.280187227,5,3,5,29.13074,17.47844,29.13074,10535.13,4.26716141,16.931323961,161,1674,7766.2945582,,303,,,426.3,,,,476,78,24,453.8,163.5,370.63790221,60.472440945,7.6,9.7,"No",11.231884058,86.044840471,5987,35.8
"Houston County, Alabama","Houston County","01069","00","01","069",4.7606834541,4.4201565459,23.814576267,96,129,66,127.81579,123.97171,63.42739,10093.51,2.6844043236,15.222474882,678,9439,8719.6780681,76,1510,34,77.09083532,414.8,10.882716326,74,8.1256176567,2029,647,290,621,333.8,6379.797852,64.09209771,7,9.5,"No",13.505637907,88.958059533,38582,27.7
"Jackson County, Alabama","Jackson County","01071","00","01","071",4.5794785716,4.7882880007,19.520730553,29,22,17,49.86766,42.19571,32.60578,10993.45,3.3559351129,17.608283225,391,5476,11391.856562,44,1135,12,96.98679657,554.9,7.6325196219,45,11.467889908,1356,127,31,241.1,69.5,1741.859186,61.520337302,7.9,10.7,"No",10.94247246,88.179531824,18232,37.9
"Jefferson County, Alabama","Jefferson County","01073","00","01","073",4.0097180011,4.2821536358,19.839865618,700,952,561,111.44452,144.34719,85.06173,9861.87,2.9734337625,14.404200103,4674,57780,10474.211357,530,10702,539,86.863174111,488.4,27.212862647,684,10.861452958,6194,4626,3383,700.1,615.4,80804.251855,45.454636813,6.1,12.9,"No",18.003431061,84.8487436,248421,32.4
"Lamar County, Alabama","Lamar County","01075","00","01","075",4.8804161471,4.9696916296,25.080583648,,2,3,64.66446,14.36988,21.55482,10176.28,4.8036351834,15.565326633,148,1239,9712.5641433,,304,,,541.2,,,,367,51,16,362.1,135.3,109.32853863,60.612505317,7.6,9.7,"Yes",12.611879577,84.017278618,4279,37.1
"Lauderdale County, Alabama","Lauderdale County","01077","00","01","077",4.2925684613,4.5422093871,19.384356252,51,127,48,72.57523,137.56797,51.99419,9847.47,2.716112532,14.095879499,531,7786,8671.7257374,40,1479,26,52.961192686,435.8,9.3521815762,57,8.6246028143,1921,420,63,451.1,79.3,4670.7481061,48.904659056,7.5,10.5,"No",14.0087878,87.52099212,33875,30.1
"Lawrence County, Alabama","Lawrence County","01079","00","01","079",4.6446993533,4.74040373,21.412352234,7,36,3,36.09674,108.29022,9.02418,10446.53,4.012345679,17.044100119,299,3432,10953.170313,19,675,18,65.381968341,542.8,18.029568492,,,1034,102,24,304.7,85.6,728.84121364,63.437306342,7.8,10.9,"No",10.856498873,87.464800064,10871,47.3
"Lee County, Alabama","Lee County","01081","00","01","081",4.1862444941,4.4031089733,19.3778864,78,125,47,47.17248,78.6208,29.56142,8633.68,3.2105412298,14.354996097,1133,14711,7981.5644295,85,1732,38,63.401135253,391.9,8.08099711,84,6.9507654117,1813,782,252,507,190.1,17179.561486,47.372917557,6.3,11.1,"No",20.049439393,84.856341078,59570,28.3
"Limestone County, Alabama","Limestone County","01083","00","01","083",4.043275324,4.3472540258,18.415583262,32,37,26,44.20342,39.89089,28.03144,10153.28,3.2539037819,15.553330906,721,8545,7437.4260966,50,1166,16,59.025605308,369.4,5.8138901102,48,6.7387336796,1411,234,103,257.7,134.3,2912.5636894,46.241331484,8.1,11.7,"Yes",11.475664749,87.671449256,33302,38.4
"Lowndes County, Alabama","Lowndes County","01085","00","01","085",5.3598503857,5.1214773594,30.048412052,1,,1,19.30875,,9.65437,10324.12,3.2926829268,15.353502669,81,949,14443.619257,,233,,,644.6,,,,248,111,56,1049.1,644.3,1475.8917583,71.19078105,4.4,10,"No",22.987164527,83.775811209,2840,58.7
"Macon County, Alabama","Macon County","01087","00","01","087",5.1694021738,4.8515590133,29.9782061,7,70,5,100.19512,369.1399,26.36714,8008.59,2.3027239539,13.536630718,82,1456,13908.72913,18,388,,128.08652957,574.7,,,,391,229,74,1178.9,438.7,4641.9262935,64.526710403,3.8,10.6,"No",20.957711443,78.020338983,5754,36.5
"Madison County, Alabama","Madison County","01089","00","01","089",3.775368643,4.0359967125,14.718348073,323,431,197,88.52359,120.73945,55.18717,9856.05,2.8041935052,13.051336511,2303,28451,7545.6737112,224,4418,125,71.110433869,376.3,11.788504793,224,7.7608010255,5023,1980,663,565.2,222.7,25001.492881,35.084896883,7.3,11.6,"No",13.034487852,87.514127367,144800,24.5
"Marengo County, Alabama","Marengo County","01091","00","01","091",5.1515753089,4.8260141372,27.404507555,7,6,5,60.99731,30.49865,25.41554,10062.01,3.1841831426,13.91810832,153,1601,11659.808508,14,377,,76.058021405,525.2,,,,548,115,29,571.9,174,2655.4936594,65.640236079,5.4,9.8,"No",16.224188791,85.138846506,5580,33.5
"Marion County, Alabama","Marion County","01093","00","01","093",4.5941142751,4.7683140467,20.860464269,7,3,6,50.00333,10.00067,20.00133,11146.41,3.0941908084,16.686026252,204,2873,10659.261363,23,600,,90.295226131,517.1,,24,11.331444759,807,73,31,241.2,120.3,1001.6180387,58.48854635,7.8,9.8,"No",11.26984127,84.445794636,9729,28.9
"Marshall County, Alabama","Marshall County","01095","00","01","095",4.7101504958,4.98102738,21.961210101,55,211,29,55.69743,221.73881,30.47595,11226.99,4.2302532282,20.158859103,1009,11167,10600.969913,66,1754,58,70.763061682,528.6,20.385353475,76,8.4098705323,1847,202,90,213.4,115.6,4825.3656583,54.955362188,8,11.3,"No",14.062273715,83.176649178,31232,29.3
"Mobile County, Alabama","Mobile County","01097","00","01","097",4.6302995393,4.4253812589,19.876171613,281,325,204,82.44222,78.34421,49.17606,10312.35,2.6850090248,17.062920269,2752,42630,10126.858166,319,6836,189,80.312185297,486.5,15.176407672,366,9.3500919681,4348,2840,1732,684.1,503.3,42397.450221,49.4516627,6.3,10,"No",17.885362694,85.823005513,145700,35.3
"Monroe County, Alabama","Monroe County","01099","00","01","099",5.0725714661,4.7905260827,26.169001034,7,15,5,32.51277,69.67023,23.22341,9706.95,3.7410350843,18.19466248,193,2318,11540.128126,24,394,,118.14512159,519.8,,23,13.561320755,444,113,41,514.9,223.7,2961.8220103,63.388888889,5,9.3,"Yes",14.123957092,91.267123288,5863,32.1
"Montgomery County, Alabama","Montgomery County","01101","00","01","101",4.2554118139,4.3200480261,21.269137152,202,256,153,96.31145,113.09968,67.59473,9173.8,2.7805846265,16.017020894,1541,21380,10049.498341,201,3359,50,93.126262533,464.4,7.363152136,212,9.7060708726,2658,2519,1343,1113.7,711.5,33423.099909,53.72766092,5.3,11.2,"No",18.828874306,84.709892834,84737,19.2
"Morgan County, Alabama","Morgan County","01103","00","01","103",4.6482707685,4.4578000847,20.483087595,63,152,60,57.97735,127.71821,50.41508,10087.05,3.6399943946,17.610424586,1039,12555,8845.5477683,70,1914,50,63.534131443,447.3,13.959305832,80,8.175779254,2364,407,138,340.3,137.9,4880.2127447,48.570550261,7.9,11.3,"No",13.291898375,88.335346216,43885,37.2
"Perry County, Alabama","Perry County","01105","00","01","105",5.7646986118,5.343085588,32.304995819,3,3,2,41.77982,31.33487,20.88991,8857.11,3.0797946804,16.527318686,66,850,13552.698473,,207,,,631.8,,,,257,96,24,977,292.6,517.38279524,68.590163934,5,9.7,"No",21.745788668,84.05329027,2082,44.1
"Pickens County, Alabama","Pickens County","01107","00","01","107",4.9825218966,4.7546497828,25.139709675,7,3,2,19.68117,14.76087,9.84058,9855.57,3.6924515074,15.805635838,158,1750,10691.861944,22,359,,132.3387873,480.1,,26,16.25,516,111,46,545.1,256.1,176.16568462,62.5522218,6.8,9.9,"No",16.73126615,81.599286564,5490,45.5
"Pike County, Alabama","Pike County","01109","00","01","109",4.9194641547,4.8683110128,22.216030181,16,6,9,60.08532,18.0256,27.03839,9904.84,3.6496350365,17.06918737,245,3449,9611.9613901,17,486,,65.455105498,473.7,,25,9.2833271444,602,288,98,862.6,341.1,2074.0663213,76.450839329,6.1,9.7,"No",17.738187452,86.687616055,12138,21.8
"Randolph County, Alabama","Randolph County","01111","00","01","111",4.6184419698,4.7413872283,21.584008662,6,5,3,70.63394,22.07311,13.24386,9887.45,3.2572654574,17.578125,167,2295,12086.55973,13,465,,65.326633166,529.7,,,,499,98,16,434.8,83.2,1561.6316388,63.183023873,7.1,10.1,"No",17.748197449,84.599564481,6993,43.7
"Russell County, Alabama","Russell County","01113","00","01","113",4.6772566446,4.6882317909,23.777693055,15,21,11,17.1904,36.09984,18.90944,10107.88,2.0724729816,15.194790983,326,5554,9186.836346,45,998,19,74.98375352,534.9,10.707844905,60,10.237160894,976,422,180,708,374.5,2936.8129583,67.483249581,6.6,11.2,"No",17.431617988,86.313147935,20981,36.5
"St. Clair County, Alabama","St. Clair County","01115","00","01","115",3.8707443437,4.1142439461,18.14137408,16,13,27,34.08355,14.76954,30.6752,10774.18,2.8826122765,14.853471727,595,7699,9818.2096247,50,1506,83,62.525791889,481.3,31.704801559,52,7.1813285458,967,218,105,251.5,144.3,1310.6198783,47.587736065,8.3,11.8,"No",12.233622731,86.323877383,32469,52.1
"Shelby County, Alabama","Shelby County","01117","00","01","117",3.6781023342,3.8635533239,14.622676552,179,123,107,37.50795,58.39846,50.80191,10576.23,2.8336934683,10.656929741,1495,13630,6226.6793249,84,2060,126,41.632798715,294.7,20.128117063,104,6.1812778603,2030,450,256,217.8,147.7,8393.4927163,31.036407981,8.6,11.4,"No",11.351784998,85.996583087,87081,45.8
"Sumter County, Alabama","Sumter County","01119","00","01","119",5.6968072571,5.2310376871,31.978986123,7,1,2,15.33742,7.66871,15.33742,9920,3.4599473486,15.420439845,92,1192,15395.659951,17,246,,163.69764083,606.1,,,,330,123,32,934.2,280.3,1427.6202494,65.097300691,4.3,9.7,"No",23.286290323,86.401524172,3628,37.9
"Talladega County, Alabama","Talladega County","01121","00","01","121",4.832574374,4.7931945282,24.393218809,26,9,21,38.70017,11.23553,26.21625,11121.24,2.3879276989,14.471231385,432,6909,11817.472372,47,1646,23,65.842007201,555.5,9.4928741534,56,9.1324200913,1319,477,178,586.6,260.2,4817.8620413,69.827871566,6.7,11.4,"No",16.195043965,84.270822926,25304,33.5
"Tallapoosa County, Alabama","Tallapoosa County","01123","00","01","123",4.8893836487,5.0550994673,23.643166925,18,9,12,73.66121,22.09836,29.46448,10856.83,2.8632382663,15.252960623,255,3645,9790.6564012,23,712,15,66.372319857,455.3,12.221353148,28,8.75,833,217,57,527.1,164.4,1799.8730213,56.337558372,7.1,10.4,"No",19.014298753,85.339506173,12719,33.2
"Tuscaloosa County, Alabama","Tuscaloosa County","01125","00","01","125",4.4562688533,4.6907003293,20.85753228,148,240,101,72.7795,116.4472,49.00486,10302.46,2.6194249491,12.173926659,1157,15550,8442.7718974,135,2647,81,79.139895887,435.6,13.229025462,167,9.831626045,3129,1244,407,615.2,234.7,12641.043494,43.806047967,6.9,10.7,"No",17.495044417,85.219477579,75657,24
"Walker County, Alabama","Walker County","01127","00","01","127",4.6992715923,4.8957519644,21.630129744,30,29,27,58.49123,44.63805,41.55956,11152.3,2.8409090909,16.580109063,425,6385,14934.341402,48,1658,45,82.908714051,698.4,22.990619827,49,9.0007347539,1177,276,78,421.6,141.7,3491.9450445,56.173715583,7.4,11.1,"No",11.595619867,85.375984926,19937,39.5
"Washington County, Alabama","Washington County","01129","00","01","129",4.6852534552,4.8276197062,22.746618705,2,2,2,35.80807,11.93602,11.93602,11005.08,4.2317380353,15.199203187,168,1526,11894.650607,17,349,,111.20559953,566.7,,,,358,81,14,481.2,97.9,630.02671836,58.344686649,7.3,9.5,"No",9.8874598071,81.990606936,4539,47.8
"Wilcox County, Alabama","Wilcox County","01131","00","01","131",5.6574797296,5.1811226212,30.371228338,4,1,1,27.30748,9.10249,9.10249,8952.31,3.8352272727,15.885167464,108,996,18334.688186,10,250,,90.686496781,645,,,,289,106,18,955.1,195.4,3555.2358616,69.359331476,2.1,9.4,"Yes",17.815344603,88.145896657,2610,35.2
"Winston County, Alabama","Winston County","01133","00","01","133",4.9434301634,4.942185917,21.780872045,11,1,4,37.80718,4.2008,16.80319,11853.99,3.1274131274,16.029274593,162,2234,10656.168965,18,462,,89.601274329,475.4,,,,675,64,9,265,44.1,650.05334529,59.278846154,7.8,10.4,"No",11.338582677,83.071656239,7037,39.8
"Aleutians East Borough, Alaska","Aleutians East Borough","02013","00","02","013",3.4184644667,2.7264742276,16.74102301,,2,1,212.37864,60.67961,30.33981,4895.03,24.382716049,38.804895608,79,1078,,,20,,,178.2,,,,,,5,,161.7,1097.3871781,0,5,,"Yes",14.782608696,23.921887714,588,0.3
"Aleutians West Census Area, Alaska","Aleutians West Census Area","02016","00","02","016",2.9668666026,2.5698439729,15.176383483,1,5,5,212.50221,88.54259,88.54259,6617.06,14.390602056,22.925860547,98,1039,,,43,,,263.7,,,,15,9,,156.5,,476.80279753,17.171717172,7.5,,"No",21.266968326,43.917274939,1805,0.4
"Anchorage Municipality, Alaska","Anchorage Municipality","02020","00","02","020",3.4436568596,3.1303047194,13.034719193,321,971,355,169.68933,325.62912,119.05081,7032.03,9.0946080748,15.326712895,6929,29463,7477.6749032,182,3112,169,60.976426915,350.4,18.821757952,173,5.3209485437,2524,2509,397,833.5,162.7,14923.511278,43.432936695,8.1,,"Yes",16.597727381,75.336158371,119114,14
"Bethel Census Area, Alaska","Bethel Census Area","02050","00","02","050",5.6842453128,4.8572958368,26.270611509,18,321,21,172.52894,1786.50935,116.87444,5536.68,11.229225932,33.210221601,750,3327,12528.584945,35,224,,135.91705176,482.1,,29,10.247349823,56,340,15,1902.8,114.2,7143.3501704,89.233152595,2.9,,"Yes",60.247747748,24.469003626,1417,0.8
"Bristol Bay Borough, Alaska","Bristol Bay Borough","02060","00","02","060",3.7451943119,3.5111467078,15.45408765,0,0,1,111.35857,0,111.35857,6431.54,15.81920904,23.316912972,28,142,,,,,,,,,,,5,,522.5,,176.10243362,57.553956835,6.6,,"No",13.75,64.259259259,347,2.3
"Denali Borough, Alaska","Denali Borough","02068","00","02","068",3.2327847277,2.9594226823,12.200584017,0,,0,153.60983,,0,5791.74,14.555256065,20.441176471,54,278,,,24,,,332.9,,,,19,,,,,418.76963521,0,6.1,,"No",27.777777778,44.208932627,584,21.8
