"Qualifying Name","Name of Area","FIPS","Nation","State","County","Physically Unhealthy Days per Month","Mentally Unhealthy Days per Month","Adults That Report Fair or Poor Health","Percent of Low Birthweight Births (<2.5kg)","Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100 000 Population","Mental Health Providers (MHP) Rate per 100 000 Population","Dentists Rate per 100 000 Population","Health Care Costs Price-adjusted Medicare Reimbursements","Percent Persons Without Insurance (Population Under 19 Years)","Percent of Persons Without Insurance (Population Under 65 Years)","Persons Without Insurance (Population Under 19 Years)","Persons Without Insurance (Population Under 65 Years)","Premature Deaths (Less Than 75 Years)","Years of Potential Life Lost (YPLL) Rate per 100 000 Population (Less than 75 Years)","Child Mortality","Premature Age-adjusted Mortality","Drug Poisoning Mortality","Child Mortality Rate per 100 000 Population","Premature Age-adjusted mortality rate per 100 000 Population","Drug Poisoning Mortality Rate per 100 000 Population","Infant Mortality","Percent of Diabetics","Diabetic Medicare Enrollees Receiving Hba1c Test","Chlamydia Cases","HIV Prevalence","Chlamydia Cases Rate per 100 000 Population","HIV Prevalence Rate per 100,000 Population","Teen Births (Females 15-19 Years)","Teen Births Rate per 1 000 Population (Females 15 to 19 Years)","Persons with Limited Access to Healthy Foods","Children Eligible for Free Lunch (Persons < 18 Years)","Food Environment Index","Air Pollution Particulate Matter Average Daily PM2.5","Presence of Drinking Water Violations","Percentage Of Households with Severe Housing Problems","Percent of Driving Alone to Work","Long Commute Driving Alone Workers Who Drive Alone","Percent of Long Commute Driving Alone Workers Who Drive Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T002_001,SE_T003_001,SE_NV002_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T005_001,SE_T006_001,SE_T006_002,SE_NV005_001,SE_NV005_002,SE_T007_001,SE_T007_002,SE_T008_001,SE_T008_002,SE_T008_003,SE_NV006_001,SE_NV006_002,SE_NV006_003,SE_T014_001,SE_T009_001,SE_T009_002,SE_T010_001,SE_T010_002,SE_NV008_001,SE_NV008_002,SE_T015_001,SE_NV010_001,SE_T012_001,SE_T012_002,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_007,SE_T016_008,SE_T016_009
"Autauga County, Alabama","Autauga County","01001","00","01","001",4.2240305575,4.1818400188,17.878814127,8.789277082,400,23,7,17,41.51999,12.64748,30.71531,9858.62,3.4698795181,14.214767895,504,4780,830,9158.2,31,851,16,55.301841016,468.4,9.6392510302,32,13,83.966244726,220,93,398.2,205,462,32.41877763,5344.4274725,48.902691511,6.9,10.8,"No",14.723467862,87.483416252,21101,42.6
"Baldwin County, Alabama","Baldwin County","01003","00","01","003",3.736320366,3.9660892942,16.361972647,8.6306400839,1316,148,170,97,73.95895,83.45238,47.61694,9412.78,4.9109963614,20.459041665,2254,23889,2573,7393.9,84,2740,103,47.728357463,361.3,17.18499733,96,10.4,83.212237094,667,278,341.1,169,1528,38.019407813,9952.144027,41.838802458,7.5,9.6,"Yes",14.702872348,84.652797501,71535,37.7
"Barbour County, Alabama","Barbour County","01005","00","01","005",4.8060566405,4.7680781875,25.02040126,11.669057867,244,11,2,10,40.91196,7.5503,37.75152,10117.09,4.4966785897,19.880759605,264,2701,413,8573.1,15,425,,65.780818313,439.5,,27,18.4,89.142857143,166,91,613.1,399.9,316,59.021292492,3135.6760862,67.36814065,4.9,10.1,"Yes",16.195652174,83.766540643,7090,35.5
"Bibb County, Alabama","Bibb County","01007","00","01","007",4.3543896681,4.3680624999,19.540231096,11.968235961,211,9,,4,39.98934,,17.71244,10817.25,3.9544513458,17.172523962,191,2150,407,11766.1,20,396,10,104.7833604,521,14.792680582,21,14.8,81.981981982,100,23,444.2,120,224,47.497879559,491.44906624,63.44950849,7.3,10.5,"No",13.681241185,83.186057928,6778,46.5
"Blount County, Alabama","Blount County","01009","00","01","009",4.4515731419,4.4838318637,18.947608063,7.3489723895,354,11,4,11,19.05785,6.93565,19.07305,10035.61,5.6534352225,20.814611659,799,7134,906,9332.8,24,916,36,43.877289846,445.4,20.777541786,31,14.1,87.659574468,72,46,124.4,95.5,546,43.2304038,609.02770839,53.078289955,8.3,11.3,"No",11.534817622,84.866712235,18624,59.8
"Bullock County, Alabama","Bullock County","01011","00","01","011",4.9558586482,4.5660296529,28.257945086,13.429951691,139,3,1,2,27.87068,9.34929,18.69858,9275.93,4.4863731656,22.785754242,107,1222,180,10857.7,10,197,,111.3833816,546.6,,,19.6,85.849056604,100,32,939.9,361.8,174,77.782744747,2199.3598279,63.857801185,3.8,9.8,"No",18.048128342,74.948024948,2884,47.1
"Butler County, Alabama","Butler County","01013","00","01","013",5.2420308431,4.9779910075,26.62129034,11.141602634,203,9,5,5,44.34371,24.80897,24.80897,10407.71,3.7793047696,18.660045451,187,2217,401,12427.4,19,394,,100.3220867,560.2,,,17.7,80.705009276,163,42,804.3,250.4,239,55.802007938,593.22513862,71.168912567,6,9.4,"Yes",16.454159077,84.491219008,6543,33
"Calhoun County, Alabama","Calhoun County","01015","00","01","015",4.9084565308,4.6655153388,22.003204574,8.8653212521,861,77,103,64,66.42741,89.08493,55.35375,10672.9,3.4197087195,18.172084458,904,12729,2133,10716.9,73,2231,46,70.322133169,550.4,13.208067258,79,14.9,81.270096463,845,194,723.9,198,1247,44.629755556,11909.162858,60.729525925,6.1,11.6,"No",14.879964598,85.261069295,39533,29.9
"Chambers County, Alabama","Chambers County","01017","00","01","017",4.7586970535,4.7323618611,24.489616793,11.429582449,323,14,,9,41.08463,,26.37517,8622.91,3.5020483679,18.946188341,265,3887,700,11410.4,13,693,,44.315663883,532.7,,26,16.4,82.207207207,282,106,825.5,366.8,456,59.92903141,3018.2847466,72.65541551,5.6,10.4,"No",19.241982507,85.087524928,11520,34.5
"Cherokee County, Alabama","Cherokee County","01019","00","01","019",4.4920998432,4.5243152951,19.294713404,8.4112149533,135,7,6,4,26.88482,23.20275,15.4685,10866.85,4.0971718637,18.242579123,226,2784,544,12533.9,13,540,11,60.881374982,522.7,14.084687384,,13.3,88.628158845,96,31,366.4,137.3,249,48.929062684,34.483862348,61.922411663,7.9,10.8,"No",15.358215358,83.873253695,8285,45.3
"Chilton County, Alabama","Chilton County","01021","00","01","021",4.6606824193,4.490854876,20.85263425,9.1795897949,367,8,18,11,18.21038,40.96216,25.03243,10204.89,5.6761420398,22.616533414,625,5997,770,10678.3,32,799,20,74.899353993,532.2,15.171629054,34,13.3,89.059080963,177,34,402.7,94.1,543,56.674668615,736.95757665,57.165354331,7.8,10.5,"No",15.61922366,81.171309748,14248,48
"Choctaw County, Alabama","Choctaw County","01023","00","01","023",4.9726306721,4.6845877636,24.951272063,10.031023785,97,5,,6,37.52909,,45.55809,11424.18,4.5264623955,17.832928233,130,1394,266,12937.3,11,253,,98.047954363,499.1,,,18.1,84,55,27,409.7,231.2,119,38.141025641,1611.5340026,68.380952381,5.4,9.6,"Yes",12.952898551,85.458823529,3632,43.8
"Clarke County, Alabama","Clarke County","01025","00","01","025",4.8603151207,4.6965588541,22.904339682,12.657589511,251,13,12,7,52.11465,48.63222,28.36879,9806.49,4.2090970808,19.270833333,248,2849,395,9468.9,16,402,,70.080154176,445.6,,,16.3,81.496062992,153,28,607,133.8,271,40.339386722,2901.6949963,55.283414976,4.6,9.6,"Yes",15.160955348,82.007952286,6600,30.8
"Clay County, Alabama","Clay County","01027","00","01","027",4.5910380687,4.6096351645,21.089290614,11.165523996,114,4,1,2,29.51594,7.37735,14.7547,9843.28,5.7152296003,22.215229704,173,1765,225,9389.8,,253,,,493.8,,,14.6,88.363636364,53,23,393,201.9,142,46.557377049,268.74108213,64.795667159,7.4,9.9,"No",15.486725664,84.283727399,4242,37
"Cleburne County, Alabama","Cleburne County","01029","00","01","029",4.077727709,4.3087417924,17.239733664,8.8116410671,109,4,6,2,26.5252,39.95206,13.31735,10906.3,4.4211108041,18.230716411,160,1593,319,11803.2,,334,11,,587.9,24.394571099,,12.6,82.972136223,32,14,213.4,111.4,185,54.141059409,80.389991266,60.474601409,7.9,10.3,"Yes",13.839285714,77.600958248,4535,48
"Coffee County, Alabama","Coffee County","01031","00","01","031",4.292121602,4.1957374385,18.943192739,8.6398258977,397,28,26,17,55.0001,50.77034,33.19599,9510.05,5.2130044843,18.904999344,651,5763,702,7629.9,27,689,12,55.66092191,386.8,7.8401651661,38,15.9,88.153998026,288,70,565.4,164.4,431,37.322480083,3708.8446147,46.686653572,6.8,9.6,"Yes",13.894792774,85.29004249,18467,22.8
"Colbert County, Alabama","Colbert County","01033","00","01","033",4.452163704,4.3593710653,19.882296277,10.174216028,438,34,14,22,62.33614,25.75707,40.4754,10730.62,3.6375446574,16.507692308,448,5365,1017,10253.3,36,1055,12,76.187251333,519,7.3431772704,35,18.7,87.413073713,255,44,467.7,96.2,562,47.446179823,2770.284911,52.011633543,6.8,10.2,"No",14.712488769,90.670874576,18962,24.2
"Conecuh County, Alabama","Conecuh County","01035","00","01","035",5.3249158584,5.097072835,27.69151006,14.087301587,142,5,7,2,39.4633,55.2399,15.78283,11168.67,4.6159267089,21.049064787,131,1553,277,12827.5,11,274,,98.416390803,558,,,17.4,79.768786127,71,35,550.9,318.3,149,50.697516162,1955.5078121,82.414698163,4.3,9.1,"No",20.22022022,93.593238822,3433,42.4
"Coosa County, Alabama","Coosa County","01037","00","01","037",4.7476384187,4.6322629196,23.229196763,13.265306122,91,,1,,,9.32488,,10457.32,5.0651230101,18.655816757,105,1238,204,8420.7,,223,,,487.7,,,17.3,85.714285714,36,15,330.3,153,110,49.616599008,752.85978442,69.296577947,6.3,10.2,"No",17.425083241,85.440302539,3163,40
"Covington County, Alabama","Covington County","01039","00","01","039",4.6126189336,4.4429323861,21.239806996,9.6886912325,305,19,19,13,50.11341,50.21805,34.35972,10405.82,4.2837402119,19.681990068,372,4320,700,9917.6,17,717,11,50.602768269,507.5,9.6801161614,31,14.7,80.564263323,157,46,414.4,145.3,500,63.355296503,1150.606434,59.253899341,7.2,9.2,"No",15.159574468,82.973998997,11584,25.4
"Crenshaw County, Alabama","Crenshaw County","01041","00","01","041",4.241128657,4.4421193194,20.281494573,8.378870674,92,2,4,2,14.30922,28.64714,14.32357,10364.38,5.4844606947,20.52454283,180,1706,262,10801.3,,258,,,490.9,,,16.5,77.133105802,99,21,707.9,178.3,159,51.892950392,2202.0670465,63.512323944,5.7,9.5,"No",12.142857143,81.727814929,4522,42.4
"Cullman County, Alabama","Cullman County","01043","00","01","043",4.5281584088,4.3912356633,20.769015174,8.7521917008,599,43,94,39,52.89769,114.62716,47.55808,9915.83,4.8365806009,20.820652962,916,10057,1365,9937.3,37,1426,62,50.548519748,484.7,25.398906208,48,14.4,88.74083944,258,45,319.3,66,925,52.529956272,2535.5021387,52.974658869,7.8,11.3,"No",14.406509253,84.852765744,27029,35
"Dale County, Alabama","Dale County","01045","00","01","045",4.6441798968,4.7206006119,21.489355887,8.1578947368,403,12,37,17,24.25026,74.64945,34.2984,10290.32,3.5634559735,17.85702214,431,5283,732,8085.5,22,750,18,46.389035319,436,12.085971544,32,14.1,87.622149837,286,126,573.3,304.4,437,42.472543493,5167.7236781,62.191479327,6.2,9.8,"No",13.000775394,87.419136816,18108,25.8
"Dallas County, Alabama","Dallas County","01047","00","01","047",5.4884965368,4.9523643649,28.000301392,12.731591449,536,29,17,13,69.52602,41.33136,31.60633,10113.18,3.1123014407,18.991302934,337,4673,878,12928.2,26,859,10,60.707948071,606.7,8.0103814544,35,19,78.169934641,357,141,850.1,409.4,688,61.079545455,5067.1057312,69.641083842,3.4,10.1,"No",23.833075734,82.330411726,11178,26.9
"DeKalb County, Alabama","DeKalb County","01049","00","01","049",4.9765546586,4.7312515876,22.286486785,8.6159781386,536,30,12,21,42.21487,16.87052,29.52341,9994.95,6.5643226587,26.871342269,1193,11387,1147,9641.5,39,1206,45,55.138482419,488.7,21.106149863,41,13.4,87.59936407,196,53,276,91.2,864,53.061475158,1603.0392308,64.917058678,8,10.7,"No",13.681043129,86.074236606,23537,29.7
"Elmore County, Alabama","Elmore County","01051","00","01","051",3.947610692,4.2610996729,17.159459337,9.2169893094,638,22,9,11,27.16821,11.04728,13.50223,9625.5,3.6695345703,14.699496265,708,6770,1180,8893.6,58,1183,16,77.818923415,431.5,6.5749731864,58,13.4,85.36977492,436,145,538.9,215.1,728,39.468690702,5201.9407252,52.087611225,7.2,11.1,"No",12.109443954,87.068156357,28756,47.4
"Escambia County, Alabama","Escambia County","01053","00","01","053",5.1734530736,4.8161574094,25.340244676,10.168471721,338,15,17,13,39.753,44.98664,34.40155,11302.09,4.5697674419,22.107969152,393,4472,733,10391.7,23,738,35,68.387250238,545.6,30.835646007,25,17.8,79.190751445,191,55,502.9,171,521,63.274228807,2903.3207791,69.039971449,5.8,9.1,"Yes",14.144736842,90.810317658,10949,30.9
"Etowah County, Alabama","Etowah County","01055","00","01","055",4.4923911939,4.5434579286,19.692522027,8.4557081952,714,80,95,50,77.27154,92.182,48.51684,11889.57,3.6875529213,18.6525144,871,11528,2056,11438.8,72,2072,61,77.933886087,544.5,19.644530608,101,16.8,81.964944649,672,150,646.6,171,1144,49.255145096,9001.2245786,60.99423992,6.6,11.2,"No",13.925152306,86.196082336,34631,27.4
"Fayette County, Alabama","Fayette County","01057","00","01","057",4.6029809012,4.63141039,21.00570775,9.9307159353,129,19,2,5,112.59927,11.93389,29.83472,10078.01,4.1393764737,18.486541392,158,1820,329,10275.5,,327,,,508.5,,,15.1,79.76744186,69,12,408.1,81.9,172,46.879258654,229.24114407,58.065843621,7.2,10,"No",11.646297628,86.522462562,5200,34.9
"Franklin County, Alabama","Franklin County","01059","00","01","059",4.6840425352,4.6622169151,22.671539825,9.1353996737,280,15,2,8,47.46685,6.30994,25.23978,11381.17,6.112438687,25.447895685,486,4801,586,11549.6,22,589,22,70.853462158,552.3,23.199654114,21,13.9,84.759358289,99,10,314,36.8,404,55.716452903,1155.2603365,69.300758214,7.4,9.9,"No",15.52070768,80.343778271,9769,34.3
"Geneva County, Alabama","Geneva County","01061","00","01","061",4.7560564231,4.6731880941,22.534512761,8.5474077534,183,7,4,2,26.20545,14.93819,7.4691,10100.71,5.0618489583,21.744957876,311,3407,484,9367.9,13,482,,54.824561404,477.6,,,13.9,87.183098592,111,29,415.3,127.5,305,53.649956025,249.23057149,61.623815968,7.5,9.3,"No",11.786203746,81.792690002,8459,44.2
"Greene County, Alabama","Greene County","01063","00","01","063",5.7733478458,5.2500191866,34.423765555,17.131979695,135,4,1,1,46.76722,11.79384,11.79384,9426.96,4.1951219512,19.418627645,86,982,184,12430.5,,176,,,585.1,,,21,87.155963303,106,23,1212.3,312.2,105,48.928238583,1895.3234655,89.696485623,2.3,9.6,"No",15.467075038,82.07388749,1955,48.3
"Hale County, Alabama","Hale County","01065","00","01","065",5.3076634512,4.8653623398,29.103801612,14.075630252,201,2,1,2,13.17176,6.63658,13.27316,10030.82,3.9989118607,17.925478348,147,1602,265,9817.7,10,261,,69.666991779,488.1,,,16,82.121212121,212,44,1376.1,344.4,178,43.078412391,35.660015955,73.534699748,5.8,9.9,"No",20.519262982,88.204328329,4524,44.1
"Henry County, Alabama","Henry County","01067","00","01","067",4.3527712939,4.4362865183,20.709193132,9.04,113,5,3,5,29.08668,17.42059,29.03432,10064.08,4.9800266312,18.798352256,187,1871,289,8562.7,14,277,,94.155625799,393.8,,,18.7,86.134453782,91,28,526.1,188.6,163,43.328017012,172.81324228,61.990595611,7.4,9.7,"No",12,85.564110157,5779,34.2
"Houston County, Alabama","Houston County","01069","00","01","069",4.3435771857,4.4829429371,19.522604165,9.6424353055,898,93,122,65,89.25744,117.11288,62.39621,9997.07,3.7245118454,17.34470902,948,10795,1481,8557.5,77,1515,46,77.600628867,420.8,14.741983245,89,13.7,86.692952193,779,255,751.4,297,1115,49.299199717,7445.4642947,62.675248534,6.4,9.5,"No",13.757961783,88.559156579,38556,27.9
"Jackson County, Alabama","Jackson County","01071","00","01","071",4.3426862317,4.4749319221,19.266629981,8.8751545117,359,31,22,18,58.86262,41.96951,34.33869,10611.31,4.0431266846,19.926716584,480,6254,1099,11928.9,44,1101,14,95.562843429,542.9,8.8587971019,42,14.9,87.979351032,159,31,300.3,68.8,567,50.319488818,2174.2825716,59.894749725,7.5,10.7,"Yes",9.4630387672,88.084589208,18119,37.2
"Jefferson County, Alabama","Jefferson County","01073","00","01","073",3.7113715553,3.9886861283,18.78362579,11.165840546,7186,704,888,549,106.53866,134.47068,83.13559,9495.44,3.3690328148,16.189263633,5310,65358,10305,10305.6,553,10495,435,90.185442797,485.1,21.962609037,710,13,85.534388118,5040,3417,764.2,623.1,6277,41.802634558,75209.934064,46.91499869,5.7,12.9,"No",18.046488339,84.888391775,245139,32.4
"Lamar County, Alabama","Lamar County","01075","00","01","075",4.6622713591,4.725341639,21.719687617,10.928433269,113,,2,3,,14.403,21.60449,9770.53,4.4865718799,17.573066963,142,1425,282,8848,,291,,,517.6,,,14.9,82.561307902,59,11,414.4,92.5,139,46.488294314,52.19318532,58.667229017,7.4,9.7,"No",13.147082991,81.75155046,4350,31.8
"Lauderdale County, Alabama","Lauderdale County","01077","00","01","077",4.2215690256,4.5012597564,18.46056299,9.668715335,645,49,116,46,52.63384,125.27539,49.67817,9360.49,3.5507720163,17.215380749,706,9590,1447,8773,44,1415,16,57.489286088,422.7,5.7452897601,51,14.2,86.9338886,398,54,428.9,68.2,662,29.375221867,5172.5416113,49.680154143,7,10.5,"No",13.390535621,85.961464846,33684,28.8
"Lawrence County, Alabama","Lawrence County","01079","00","01","079",4.4965546887,4.595849242,20.558145488,9.1495823842,241,8,31,2,23.897,93.61317,6.03956,10175.84,4.9186830623,20.128573516,372,4133,622,10664.9,19,672,11,64.472344757,542.2,10.980345182,,15.6,87.717601547,108,24,321.6,84.2,383,49.70798183,564.69052459,62.4750499,7.6,10.9,"No",11.58445441,87.859246875,11036,49.3
"Lee County, Alabama","Lee County","01081","00","01","081",4.48506258,4.3554892097,19.178021916,7.7093072673,907,74,112,46,47.97251,71.34076,29.30067,8562.83,3.919198895,16.624121896,1362,16802,1736,7955.7,89,1802,39,67.483034462,422.8,8.4382525461,72,9.5,85.162713734,732,224,485,174.7,993,21.547608715,15920.391048,47.380789609,6,11.1,"Yes",19.117515439,84.626929359,57515,27.1
"Limestone County, Alabama","Limestone County","01083","00","01","083",4.0202684858,4.1436944557,17.751772689,9.5184296003,674,31,37,25,34.14586,40.36525,27.27382,10140.09,3.7995995632,18.562158784,835,10098,1109,7195.2,46,1127,12,54.675335481,365.9,4.423229326,52,12.6,87.597448618,258,113,290.4,152.2,614,33.616205858,3269.7743098,45.979574223,7.7,11.7,"Yes",11.652775594,87.430639324,32616,38.9
"Lowndes County, Alabama","Lowndes County","01085","00","01","085",5.1577216047,4.8397198522,28.609686175,14.191729323,151,,,1,,,9.56206,9456.81,4.1996830428,18.287257706,106,1151,219,12909.9,,217,,,601.2,,,23.5,83.064516129,127,53,1186.6,590.6,136,47.685834502,2962.5130634,68.939393939,2.2,10,"No",24.228028504,82.036647642,2731,57.8
"Macon County, Alabama","Macon County","01087","00","01","087",5.1510466444,4.8153056211,28.451412097,13.319946452,199,7,67,5,36.03604,350.69354,26.17116,7529.28,3.0823786143,16.118779513,113,1775,354,13001.3,17,370,,115.72498298,570.1,,,18.4,86.700767263,255,102,1295.2,589,226,28.749522961,4121.5395502,66.914844114,3.1,10.6,"Yes",21.468229488,77.588537443,5740,34.9
"Madison County, Alabama","Madison County","01089","00","01","089",3.8307343357,3.7755726561,16.110661335,10.033318449,2921,308,393,193,87.92489,111.30338,54.66044,9793.3,3.5755053946,15.780855029,2913,34211,4061,7532,204,4153,87,64.690642372,361,8.283505351,230,11.5,87.656778817,2119,651,610.9,223,2339,28.35667091,27134.82183,33.970044738,6.9,11.6,"No",12.306824591,86.932218255,140745,23.9
"Marengo County, Alabama","Marengo County","01091","00","01","091",4.9434659786,4.7283257629,25.963952171,12.59977195,221,7,5,5,34.80855,24.96505,24.96505,9727.35,4.1856610029,16.901168244,202,1982,366,11075.9,16,378,,85.52490913,530.6,,,20.2,78.832116788,144,26,714.5,151,226,42.513167795,3183.2917051,65.653728294,4.7,9.8,"No",15.239220319,85.48816568,5779,27.1
"Marion County, Alabama","Marion County","01093","00","01","093",4.5702414119,4.7274996918,21.459521413,9.400921659,204,8,2,6,26.42793,6.62954,19.88862,10669.94,4.2092603728,19.518238921,280,3387,565,11024.2,25,606,,97.39753779,518.5,,28,18.7,88.599752169,92,27,303.3,104.5,305,49.464807006,195.76825084,53.165360999,7.7,9.8,"Yes",12.322834646,84.88700565,9616,26.5
"Marshall County, Alabama","Marshall County","01095","00","01","095",4.7429864699,4.608010318,21.743247416,7.9910856415,753,56,206,28,59.1741,217.47163,29.55925,10784.43,5.0729470613,24.502764414,1217,13650,1661,10992.9,64,1687,61,68.345400568,514.9,21.469725927,80,12.8,84.407146724,218,87,230.1,112.5,1203,57.684008631,6102.7261068,54.389795449,7.5,11.3,"No",13.649635036,81.963868682,30534,28.9
"Mobile County, Alabama","Mobile County","01097","00","01","097",4.5472263809,4.5348829067,20.997058199,11.80963718,4762,277,313,202,66.72721,75.34997,48.62841,9859.56,3.7970641456,19.364491932,3924,48662,6705,10198.2,331,6774,189,82.624204648,487.2,15.185638403,356,15.6,83.233670653,3222,1794,778.1,523.2,5019,49.701434895,43729.818048,48.759671373,5.7,10,"No",17.895347339,85.87542826,144877,34.3
"Monroe County, Alabama","Monroe County","01099","00","01","099",5.1606835137,5.1483274876,26.067192435,15.920679887,281,6,13,5,27.33859,59.98247,23.07018,9306.31,4.4178210408,22.901000078,236,2954,403,11848.6,28,400,,133.8496104,511.2,,,17.8,81.306306306,121,27,544.2,147.9,288,50.597329585,3909.2329719,67.284118769,4.2,9.3,"No",16.196760648,89.512532677,5821,33.3
"Montgomery County, Alabama","Montgomery County","01101","00","01","101",4.840655486,4.4647218557,22.857392099,11.830898901,2681,208,244,153,91.95849,107.71723,67.544,9046.46,3.4590237349,18.100120717,1931,24290,3133,9717.3,192,3293,44,87.410597624,464.3,6.476617204,218,13.5,84.123401053,2843,1481,1254.3,789.7,2679,46.702578317,25876.155285,53.355098418,5,11.2,"No",18.813664247,84.811657233,83464,17.9
"Morgan County, Alabama","Morgan County","01103","00","01","103",4.0833554659,4.394459488,19.222907292,8.5753397868,877,65,143,59,54.34465,119.60022,49.34554,9990.15,4.6977752903,20.544602772,1343,14735,1855,9423.5,87,1872,56,78.057708872,439.9,15.600667486,93,12.6,85.279187817,448,112,374,111.8,1184,44.603503485,4196.5911361,47.449505359,7.6,11.3,"No",13.195496861,87.844209359,44342,36.7
"Perry County, Alabama","Perry County","01105","00","01","105",5.2759021341,5.0271580408,29.326454917,12.70718232,115,3,2,2,30.53124,20.72109,20.72109,9072.14,3.9634146341,20.007600228,91,1053,211,13849.2,,205,,,629.5,,,21.7,81.712062257,95,30,948.1,355.1,130,39.987696094,592.74100044,70.182926829,4.1,9.7,"No",21.029411765,84.363767074,2347,45.5
"Pickens County, Alabama","Pickens County","01107","00","01","107",4.9364220581,4.7059900263,26.790105736,12.189054726,196,7,2,2,34.3727,9.58589,9.58589,9345.5,4.30032543,18.017372616,185,2012,378,11640.2,19,367,,111.87658246,496.4,,21,16.4,87.596899225,133,36,685.5,219.8,177,39.990962494,418.96626125,64.188163885,6.1,9.9,"No",17.160883281,82.349370162,5426,47.8
"Pike County, Alabama","Pike County","01109","00","01","109",4.9970974495,4.5972824835,23.614013303,10.142283838,278,16,6,9,47.91997,18.15651,27.23476,9810.31,4.7985781991,18.47105612,324,3762,503,10200.3,24,500,,91.631032376,491.4,,29,13.5,87.043189369,347,97,1040.8,334.1,296,25.649913345,1899.7927304,67.822014052,5.7,9.7,"No",18.827160494,87.217619149,12316,21.2
"Randolph County, Alabama","Randolph County","01111","00","01","111",4.6750711768,4.5262276917,21.089973921,9.2465753425,162,7,5,3,31.05728,22.03031,13.21819,9804.01,4.1335144576,21.583564174,213,2805,442,12125.8,14,462,,69.485805043,546,,,14.9,85.571142285,90,15,396,77.7,255,44.862772695,469.00973797,61.971830986,7,10.1,"Yes",18.801996672,79.845330161,6711,43.8
"Russell County, Alabama","Russell County","01113","00","01","113",4.6074031782,4.6711080071,24.333825475,10.255481065,566,14,21,9,23.48678,35.19946,15.08548,9619.7,3.5106721886,19.440309616,551,7183,813,8907.7,49,850,19,81.298115211,456.6,10.623249261,50,12.9,78.483606557,467,171,783.8,352.9,629,48.051948052,4129.4244915,65.959680806,5.7,11.2,"No",16.887417219,85.400516796,20491,36.1
"St. Clair County, Alabama","St. Clair County","01115","00","01","115",4.0717921502,4.3430023164,17.307111759,8.4856571047,636,18,11,25,20.76196,12.63293,28.71121,10550.51,4.042068531,16.98850619,834,8824,1439,10242.3,48,1475,76,60.063817806,478.9,29.221890272,59,12.8,86.763185109,206,66,238.7,91.9,730,42.223379027,972.10013539,51.866995834,8.1,11.8,"No",12.087386382,86.148341819,31302,51.9
"Shelby County, Alabama","Shelby County","01117","00","01","117",3.383194205,3.7262399003,14.236830681,7.5614147163,1302,169,115,102,81.77881,55.09959,48.87094,9865.72,4.2829827916,13.190598459,2240,16696,2009,6167.1,97,2015,111,48.183674179,296.1,17.916287358,107,8.7,86.108374384,418,142,204.7,84.3,898,20.191572604,7448.5707717,30.635770158,8.4,11.4,"Yes",10.904309124,85.528682389,85119,46.6
"Sumter County, Alabama","Sumter County","01119","00","01","119",5.6716739456,5.3233638756,35.684583323,11.439466158,120,6,1,2,45.57193,7.63184,15.26368,9309.92,4.8192771084,20.650636492,132,1606,223,12047.7,19,248,,177.83601647,604.1,,,20.1,86.96969697,149,34,1115.2,293.3,143,32.640949555,1455.9910366,66.230677765,3.9,9.7,"Yes",22.529644269,86.239592969,3729,38.5
"Talladega County, Alabama","Talladega County","01121","00","01","121",4.6717512558,4.7046316183,23.716637676,11.954131323,761,27,6,21,33.20135,7.42005,25.97017,10555.71,3.1917771166,17.289748888,590,8283,1551,11205,48,1623,26,65.934971634,558.6,10.687273923,88,15.3,83.017437453,564,152,695.5,221.1,840,44.055173861,4888.2921083,68.444411569,6.2,11.4,"No",16.277592504,84.439067016,25124,31.6
"Tallapoosa County, Alabama","Tallapoosa County","01123","00","01","123",4.8210557285,4.6365449154,23.128694046,13.661847153,463,16,10,12,38.86797,24.4834,29.38008,10392.67,3.9482415395,17.950506833,357,4374,692,9494.3,20,678,,56.942744071,441.2,,39,13.7,78.631452581,207,56,502.4,161.6,497,54.507567449,2014.1158945,62.648386557,6.5,10.4,"Yes",17.679389313,82.656069735,12896,32.3
"Tuscaloosa County, Alabama","Tuscaloosa County","01125","00","01","125",4.4570230285,4.4882356896,20.24258066,11.032007872,1906,147,229,98,72.69598,112.26811,48.04487,10028.33,3.0301658784,15.288690148,1339,19420,2472,8286.1,115,2554,84,67.809402511,430.3,13.838345066,196,12.3,85.426653883,1497,414,745.4,243.2,1782,27.802914469,14355.307901,50.771299179,6.4,10.7,"No",17.972893341,85.754364813,73970,23.1
"Walker County, Alabama","Walker County","01127","00","01","127",4.8858906908,4.9560697833,21.769886481,10.064764572,575,30,26,27,45.82181,39.81989,41.35143,10687.23,3.9502560351,19.382919543,594,7526,1583,14548.2,49,1619,59,84.144728934,680.8,29.985312279,59,16.7,88.870008496,296,69,448.5,123.6,784,54.875061244,2597.7686735,58.638401195,7.2,11.1,"No",11.32038835,84.498893994,19864,39.5
