"Qualifying Name","Name of Area","FIPS","Nation","State","County","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Mentally Unhealthy Days per Month (Persons 18 Years and Over)","Percent of Adults That Report Fair or Poor Health (Persons 18 Years and Over)","Percent of Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population","Percent of Persons Without Insurance (Population Under 19 Years, 2013 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2013 est.)","Persons Without Insurance (Population Under 19 Years, 2013 est.)","Persons Without Insurance (Population Under 65 Years, 2013 est.)","Years of Potential Life Lost (YPLL) Rate per 100,000 Population (Less than 75 Years)","Child Mortality (Death Counts)","Premature Age-adjusted Mortality (Death Counts)","Drug Poisoning Mortality (Death Counts)","Child Mortality Rate per 100,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Drug Poisoning Mortality Rate per 100,000 Population","Infant Mortality (Death Counts)","Infant Mortality Rate per 1,000 Live Births","Percent Diabetics (Adults)","Diabetics","Chlamydia Cases (Count)","HIV Prevalence (Count)","Chlamydia Cases Rate per 100,000 Population","HIV Prevalence Rate per 100,000 Population","Percent Current Smokers (Persons 18 Years and Over)","Percent Drinking Adults (Persons 18 Years and Over)","Percent of Persons with Limited Access to Healthy Foods","Percent of Persons with Access to Exercise Opportunities","Percent Obese Persons (20 Years and Over)","Percent Percent Physically Inactive Persons (20 Years and Over)","Percent of Children Eligible for Free Lunch (Persons < 18 Years)","Food Environment Index","Air Pollution Particulate Matter Average Daily Pm2.5","Presence Of Drinking Water Violations","Percentage Of Households with Severe Housing Problems","Percentage Of Households with High Housing Costs","Percentage Of Households with Overcrowding","Percentage of Households with Lack of Kitchen or Plumbing Facilities","Percent Of Driving Alone to Work","Long Commute Driving Alone Workers Who Drive Alone","Percent Of Long Commute Driving Alone Workers Who Drive Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T002_001,SE_T003_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T006_001,SE_T006_002,SE_NV005_001,SE_NV005_002,SE_T007_002,SE_T008_001,SE_T008_002,SE_T008_003,SE_NV006_001,SE_NV006_002,SE_NV006_003,SE_T014_001,SE_NV009_001,SE_T009_001,SE_NV007_001,SE_T010_001,SE_T010_002,SE_NV008_001,SE_NV008_002,SE_T011_001,SE_T011_002,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T016_006,SE_T016_007,SE_T016_008,SE_T016_009
"Autauga County, Alabama","Autauga County","01001","00","01","001",4.2005779826,4.3067392835,18.411124355,8.4757194245,23,9,18,41.50426,16.21505,32.4301,2.4761904762,10.961103842,351,3686,8824.0571232,29,815,16,53.279441484,438.7,9.6230761366,34,7.6992753623,14.2,"",189,103,341.2,225.5,19.124658497,16.878015122,11.991125,68.677502703,37.5,31.1,47.931664339,7.2,11.7,"No",14.954645747,13.205222961,2.4515812699,0.6374111302,85.965056526,20911,38.3
"Baldwin County, Alabama","Baldwin County","01003","00","01","003",4.0987477691,4.2496487805,18.060457821,8.3386827577,152,194,106,72.87966,91.23916,49.85232,3.2380267084,13.570310753,1530,16389,7224.6321603,85,2827,102,47.000016588,348.4,16.322611618,91,5.8513374486,11.3,"",678,282,338.8,163.9,16.795485149,16.71496869,5.424426597,71.971031191,31,23.8,45.079131159,8,10.3,"Yes",13.831725255,12.569278139,1.0728021051,0.6072464746,84.719423478,74415,40.5
"Barbour County, Alabama","Barbour County","01005","00","01","005",5.0674383044,4.634994147,25.773415631,10.952623535,10,2,9,38.51338,7.91452,35.61535,2.9014236799,16.542239686,161,2105,9586.165037,17,451,,77.080027205,469.8,,,,18,"",150,97,557.9,436,21.540877567,12.698715423,10.739666573,53.625669228,44.3,28.2,73.769808173,5.6,11.5,"No",15.455531453,13.67426348,2.0065075922,0.8134490239,83.404353334,7242,33.8
"Bibb County, Alabama","Bibb County","01007","00","01","007",4.3633772783,4.3157100192,19.996911856,11.105002749,13,2,6,57.41289,8.82301,26.46903,2.6194467728,12.297318992,125,1532,11783.543675,21,445,15,111.74968072,563.7,22.093263028,25,14.792899408,14.9,"",68,37,302.1,191.9,19.916404243,15.925150788,2.6016270077,16.251363736,37.8,34.9,65.329687025,7.6,11.2,"No",10.960854093,10.808080808,0.1992882562,0.2846975089,86.365902293,6930,48.6
"Blount County, Alabama","Blount County","01009","00","01","009",4.5127526482,4.7015992588,21.095323159,7.9268292683,13,6,12,22.52877,10.34251,20.68502,3.4301361966,15.564604172,476,5275,10908.101822,41,1050,43,76.032935242,501.8,24.799584751,29,6.1846875666,14.3,"",66,46,114.3,95.4,19.652158178,15.378721894,2.8801498232,22.949303932,34.4,28.5,53.311793215,8.5,11.7,"No",10.401153015,7.9458794588,1.7247177516,0.9128032669,86.792275082,18426,59.7
"Bullock County, Alabama","Bullock County","01011","00","01","011",5.2266193898,4.7919184772,29.407713883,13.73200443,3,1,2,28.95194,9.70026,19.40052,2.7890238417,17.671809257,62,882,12066.910263,12,205,,135.47076089,568.2,,,,20,"",79,61,733.9,691.3,23.478291175,12.896317308,19.743350741,26.69048928,39.4,29.2,68.970189702,4.2,11.2,"No",20.759837178,16.591549296,2.3880597015,2.0081411126,73.076923077,3135,47.3
"Butler County, Alabama","Butler County","01013","00","01","013",5.1174326174,5.1345730819,26.502613197,12.411764706,6,7,6,30.003,35.30895,30.26482,2.4958402662,13.982828106,120,1596,14018.606262,23,393,,122.77143162,577.1,,,,17.9,"",168,45,827.7,268.4,22.197655522,13.042811266,2.9261219306,48.57974889,40.2,34.7,78.569147237,6.5,10.6,"No",13.780260708,11.406844106,1.6759776536,1.6759776536,83.562901745,6370,31.8
"Calhoun County, Alabama","Calhoun County","01015","00","01","015",4.2904480661,4.4765721664,19.584701424,9.0023300148,74,113,74,64.56623,98.49383,64.50038,2.3045235504,14.431316351,593,9869,12217.759984,78,2333,66,77.013457608,572.2,19.132708525,73,7.8317777063,16.2,"",681,206,587.5,211.2,20.462231748,15.431677015,9.178566583,44.713760416,37.1,30.2,59.029288703,6.9,11.8,"No",14.538810763,12.74784362,1.4727051268,1.0076403499,85.022359524,39356,30.6
"Chambers County, Alabama","Chambers County","01017","00","01","017",5.0370446678,4.9326462099,25.219835535,12.446043165,17,2,7,50.23195,5.93243,20.7635,2.485320224,13.522138014,182,2712,11273.17098,25,691,,86.706204696,536.3,,22,8.064516129,17,"",270,106,792.3,366.9,22.040369624,13.528450886,10.328558281,61.864679234,40.3,32.4,55.918007494,6.3,11.4,"No",16.068190062,12.631578947,3.4385201306,1.1244105912,87.107646935,12405,30.9
"Cherokee County, Alabama","Cherokee County","01019","00","01","019",4.2779170785,4.6812529447,19.291593453,8.2324455206,9,5,4,34.98542,19.33712,15.4697,2.9816946594,14.939208706,158,2224,11294.41054,,575,11,,536.9,14.20436203,,,13.5,"",44,20,169,90.1,19.14485261,15.232730666,0.2211124003,33.429527877,36.3,31.8,63.839840836,8.5,11.4,"No",15.469858156,12.998655312,2.1719858156,0.7978723404,84.975850375,8269,43.4
"Chilton County, Alabama","Chilton County","01021","00","01","021",4.7362771144,4.6255724065,21.465307173,8.6144265698,8,18,12,18.20623,40.84689,27.23126,3.8842134468,18.339325327,420,4795,10831.917358,27,850,16,63.692764974,541.5,12.125713333,26,6.7938332898,14.7,"",135,36,307.3,99.5,19.673275015,15.064312648,1.4605309614,47.242398552,35.3,31.2,63.705518308,8.1,11.2,"No",13.058207576,10.282872241,3.0489682784,0.8623344626,83.176118716,14461,49.2
"Choctaw County, Alabama","Choctaw County","01023","00","01","023",4.7381487719,4.7562769582,24.111284914,11.004273504,5,,6,38.48226,,46.34994,3.2093362509,14.114033916,88,1057,12047.187077,,273,,,536.1,,,,16.2,"",50,25,375.3,220.3,19.062059567,13.025240355,7.2904190524,27.563316257,41.3,32.6,64.290755116,6.4,10.1,"No",13.3632287,11.092745638,1.399103139,1.2556053812,81.796690307,3460,45.9
"Clarke County, Alabama","Clarke County","01025","00","01","025",5.0341224717,4.8038714851,27.70052858,12.954429083,14,16,7,57.39587,66.43691,29.06615,2.7313566936,14.592094197,152,2082,9688.3738435,15,412,,69.130795465,456.8,,,,18.5,"",158,34,633.4,162,20.933322707,13.353695283,11.154712303,23.864824062,39.6,32.3,57.698132256,5.4,10.4,"No",12.681912682,12.236917769,0.9771309771,0.7276507277,83.664317745,6530,34.3
"Clay County, Alabama","Clay County","01027","00","01","027",4.472032396,4.5860482369,20.587634774,9.5528455285,5,2,2,37.059,14.96222,14.96222,3.7800687285,16.869476111,110,1317,9666.0412363,,271,,,509.7,,,,14.7,"",39,22,287.8,190.9,19.13940444,14.819133688,2.3268798802,63.975021533,37.7,30.6,60.07231405,7.9,10.6,"Yes",14.298892989,10.55191768,1.2730627306,3.1365313653,87.523139578,4728,39.4
"Cleburne County, Alabama","Cleburne County","01029","00","01","029",4.3509719859,4.6239163437,18.30098389,8.8815789474,4,6,,26.80247,40.26846,,3.4337179848,15.290697674,122,1315,11985.555305,12,334,,86.724000867,586.8,,,,13.1,"",38,14,252,111.3,19.710511775,15.970047221,2.0717157696,41.48410366,34.5,28.7,56.579954093,8,11,"No",11.601731602,8.3406496927,3.9826839827,0.1731601732,81.824830865,4475,49.5
"Coffee County, Alabama","Coffee County","01031","00","01","031",4.5482444526,4.606066663,20.226871409,8.201536376,28,28,17,54.65974,53.97694,32.77172,3.2321639732,13.872718303,410,4218,7933.1296664,26,743,11,53.417705915,408.5,7.128461354,31,6.8858285207,14.8,"",238,61,467.5,143.3,18.201220902,15.528419697,5.9812031395,57.175462481,33.4,30.3,47.070212983,7.5,10.9,"No",12.212943633,10.303190087,1.4352818372,0.7828810021,86.646509319,19200,24.5
"Colbert County, Alabama","Colbert County","01033","00","01","033",4.3370482596,4.4916322024,20.249936546,10.030253665,37,17,23,68.24554,31.19266,42.20183,2.5073129962,12.29390904,300,3952,10332.484038,30,1016,12,64.536947402,497.5,7.3588029681,39,9.3279119828,17.6,"",258,43,473,93.3,18.371146454,15.822772615,6.5517045351,55.282207687,32.5,33,51.724990726,7.4,10.7,"No",14.546273362,13.159221077,1.1483900023,0.87818059,89.073318355,19426,27.2
"Conecuh County, Alabama","Conecuh County","01035","00","01","035",5.5701879313,5.2802804094,29.069514691,14.446721311,6,8,2,48.40662,64.15911,16.03978,2.9301277235,16.359512333,78,1154,10635.365164,,272,,,536.7,,,,19.5,"",70,28,552.5,262.3,23.479997226,11.452551125,13.229776262,37.125793771,38.7,34.6,61.033369214,5.2,10.3,"No",17.117988395,13.457556936,2.4758220503,3.7717601547,89.966641006,3506,42.9
"Coosa County, Alabama","Coosa County","01037","00","01","037",4.824660434,4.7071571194,23.987607606,13.493253373,,1,,,9.29887,,3.8001041124,16.069760199,73,1032,12713.326366,,228,,,528,,,,18.6,"",48,14,440.9,149.7,20.5045703,13.531703956,10.124807485,8.3109454892,40.4,31,68.163265306,6.9,11,"No",16.06741573,13.532110092,1.0112359551,1.9101123596,83.2,3120,39.4
"Covington County, Alabama","Covington County","01039","00","01","039",4.7699995605,4.7970467132,22.449289189,9.5768374165,19,22,14,50.72348,59.31198,37.74399,2.8328611898,15.931887101,240,3415,11346.013021,28,754,,84.738068577,535.7,,26,8.3146786057,14.8,"",170,54,448.4,169.9,20.939810841,15.401890515,4.3703267511,50.618297365,33.4,32.8,58.994666236,7.5,10.5,"No",13.64548495,10.429447853,1.9397993311,1.5384615385,86.7671346,12609,26.9
"Crenshaw County, Alabama","Crenshaw County","01041","00","01","041",4.589517957,4.6641646183,22.290602295,9.4412331407,2,7,2,14.37504,50.465,14.41857,3.4996956786,14.661236579,115,1188,9259.1296172,,271,,,500.2,,,,15.9,"",98,23,701.2,197.5,19.977136619,14.435646239,17.03906038,26.377103409,38.2,30,67.030091583,6.2,10.7,"No",9.9350046425,9.0995260664,0.6313834726,0.4642525534,81.197647478,4556,43.8
"Cullman County, Alabama","Cullman County","01043","00","01","043",4.4965092871,4.7505766135,20.704153557,8.1045751634,48,99,40,58.20228,119.63023,48.33545,2.8699645168,16.652227723,550,8073,10007.614724,35,1493,54,47.397857617,491.3,21.841921118,44,6.4782096584,16.4,"",274,52,337.1,75.6,20.340604909,15.895649522,3.1096062497,46.321170062,34.5,33.4,52.197542533,8.3,11.6,"No",13.632731341,11.538461538,1.8219594055,0.9749081029,88.273265196,27897,34.9
"Dale County, Alabama","Dale County","01045","00","01","045",4.7168411445,4.4415549183,22.613336822,8.5449849333,8,40,17,16.25157,81.25787,34.5346,2.6789523078,14.282783382,314,4177,9637.4564807,30,836,12,65.162145138,484.1,8.1071768783,29,6.1610367538,15.6,"",283,112,571.9,273.3,18.612184668,14.394508845,10.559380333,48.347296571,37.3,28.7,62.665814288,6.7,11,"No",12.723449001,11.05813019,1.4721345952,0.920084122,87.121585642,17670,25.8
"Dallas County, Alabama","Dallas County","01047","00","01","047",5.1390385639,5.0755569488,28.705153525,13.919213974,30,19,13,74.985,48.45085,33.15058,2.1250881257,13.756270541,211,3181,13923.693981,27,893,,67.119099113,637.1,,27,6.9731404959,16.6,"",430,140,1030.9,415.2,22.196834617,12.016476546,11.556270932,49.05979005,41.9,28.1,70.529950458,4.3,11.1,"No",22.997258605,18.879798615,5.8178495279,1.4620773683,86.588921283,12177,25.7
"DeKalb County, Alabama","DeKalb County","01049","00","01","049",4.5474356903,4.6503286583,23.097445655,8.0979284369,30,16,18,42.31312,22.34106,25.1337,3.914490383,21.775005997,694,9078,10995.276873,37,1313,63,52.875271522,523.4,29.487893581,40,6.7442252571,12.2,"",179,45,251.9,76.7,22.363353159,14.89396326,2.1669646088,46.535600276,30.4,30.5,60.9686377,8.4,11.3,"No",13.092144713,9.9444101297,3.2580451729,0.9394363382,86.524368552,24322,30.1
"Elmore County, Alabama","Elmore County","01051","00","01","051",4.2276166824,4.4079859115,18.957987718,9.4993193163,22,9,12,26.89519,11.01901,14.69202,2.4918237035,10.990928875,480,5101,8400.1348816,48,1170,22,64.957912686,414.8,8.9816447841,43,6.3665975718,14.6,"",340,156,419.9,228.7,18.66105088,16.572223555,6.9430217138,52.090084864,36.1,27.9,51.477461179,7.6,11.9,"No",11.291448517,9.397632927,1.1518324607,1.0296684119,86.207002175,28144,45.6
"Escambia County, Alabama","Escambia County","01053","00","01","053",4.8504784353,4.6951595774,24.452623682,9.6638655462,15,18,13,39.75827,48.06794,34.71573,3.2896277218,17.287570136,281,3420,11920.569925,28,786,30,83.885077444,581.3,26.557133246,27,8.8091353997,18.1,"",206,72,545.9,226.4,20.868077533,13.146634924,7.2199400283,48.657324043,38.4,30,70.846112214,6.5,10.2,"No",11.932650073,8.9908952959,1.6837481698,1.8301610542,91.29741524,10879,28
"Etowah County, Alabama","Etowah County","01055","00","01","055",4.9820185085,4.9093520355,22.973629311,8.6778353622,81,109,55,78.97508,106.07756,53.52538,2.5715650927,14.798703232,592,8947,11760.734701,72,2166,72,80.034681695,563.3,23.348120476,84,10.237659963,15.2,"",526,163,508.1,187,23.130358578,13.804670623,9.4006166263,45.157521785,36.1,33.4,57.855489843,7.1,11.5,"No",12.192982456,10.279187817,1.8170426065,0.5889724311,84.844809663,34279,28.5
"Fayette County, Alabama","Fayette County","01057","00","01","057",4.5742285702,4.6227692147,19.61169181,9.92,19,2,5,114.83138,12.14477,30.36191,2.8281164195,13.738856843,103,1310,9663.7324288,,335,,,503.9,,,,15.7,"",77,14,456.3,98.5,20.033000167,14.909134106,1.3544586987,34.9863697,37.8,34.6,59.578947368,7.9,10.6,"No",12.793176972,10.75036075,1.421464108,1.1371712864,84.217314203,5224,38.1
"Franklin County, Alabama","Franklin County","01059","00","01","059",4.7426679365,4.8541644472,22.409362481,9.1374019775,14,4,8,44.26458,12.70043,25.40086,3.5087719298,16.96022271,276,3168,10875.865439,24,563,10,77.647287198,521.1,10.546409475,21,7.1234735414,13.7,"",111,12,351.3,46.1,20.887482257,14.953598093,4.1206193939,57.986373959,33,33.5,35.131171582,8,10.5,"No",12.312186978,8.1127241674,3.4223706177,1.2520868114,84.90687219,10576,35.6
"Geneva County, Alabama","Geneva County","01061","00","01","061",4.9219445063,4.909681346,23.761594353,7.8732597216,7,4,2,26.30195,15.13947,7.56974,4.0684158087,17.880579559,245,2752,10643.192414,16,535,11,67.833976343,518.7,13.782388613,,,16.2,"",93,37,348.2,163.7,22.304880964,14.656549773,0.9307847981,20.205300485,38,32.3,61.473788328,7.9,10.6,"No",11.483031148,8.7293339632,2.4546722455,0.7438400744,83.51626813,8522,42.5
"Greene County, Alabama","Greene County","01063","00","01","063",5.6448489571,5.2551586158,34.098748427,15.020862309,5,1,1,59.36832,12.0048,12.0048,2.4973985432,14.315181518,48,694,12886.136939,,177,,,582.1,,,,18.9,"",73,28,853.5,396.6,24.424960035,9.9536821646,21.342475717,6.2244333886,42.1,27.9,70.537261698,3.1,10.5,"No",17.5,14.43902439,3.71875,2.15625,80.016652789,1922,43.3
"Hale County, Alabama","Hale County","01065","00","01","065",5.1895385187,4.9825127522,27.475815326,14.173228346,2,2,2,13.37614,13.50257,13.50257,2.9460352423,14.597000937,107,1246,11901.734306,15,302,,106.51139672,559.9,,,,16.1,"",145,53,955,421.1,22.062634169,12.909603702,4.6475069881,29.898477157,42,30.9,76.943699732,6.1,10.8,"No",17.890295359,15.532646048,2.447257384,1.2658227848,90.442890443,4656,48.3
"Henry County, Alabama","Henry County","01067","00","01","067",4.6427827893,4.5446280757,21.280187227,9.4594594595,5,3,5,29.13074,17.49577,29.15962,3.4361471861,14.75275848,127,1444,9803.3902633,,336,,,475.2,,,,16.7,"",78,24,453.8,163.5,19.666628557,13.676408836,2.1421679703,25.702230956,37.9,32.3,59.983929289,7.7,10.9,"No",11.16751269,10.014749263,0.7976794779,0.8556925308,85.943190095,5900,35.2
"Houston County, Alabama","Houston County","01069","00","01","069",4.7606834541,4.4201565459,23.814576267,10.365719321,90,138,68,86.49189,132.25231,65.16781,2.5458329998,14.484471646,636,8922,9376.7186064,80,1623,36,81.76531311,439.1,11.517235863,85,9.403695099,14.5,"",647,290,621,333.8,21.50920125,15.605670806,6.2826059381,57.751583011,36,28.8,62.580479011,7,10.7,"No",13.152187779,12.081336614,1.1353488965,0.4209720628,89.185715597,38860,26.8
"Jackson County, Alabama","Jackson County","01071","00","01","071",4.5794785716,4.7882880007,19.520730553,9.0954900479,27,23,17,51.78565,44.30831,32.74962,3.0782761653,15.948932309,350,4922,11015.602307,32,1122,13,71.585163975,545,8.3085143098,39,10.007698229,16,"",127,31,241.1,69.5,22.313742769,15.125217103,3.2725105417,47.731414508,37,30.4,52.965465465,7.9,11,"No",9.6916299559,7.5915704967,1.3950073421,1.0034263338,87.023779725,17383,37.3
"Jefferson County, Alabama","Jefferson County","01073","00","01","073",4.0097180011,4.2821536358,19.839865618,11.191195091,714,1026,579,108.26039,155.64391,87.83414,2.5007019066,12.676463563,3919,50420,10995.21459,530,11026,572,87.157290954,498.5,28.902245229,668,10.686632111,13.2,"",4626,3383,700.1,615.4,18.407875572,16.131992422,12.271590614,79.535162028,33.3,27.9,48.133424812,6.2,13.4,"No",17.734641475,16.319871832,1.4697428429,0.875713793,84.384946513,249744,32.9
"Lamar County, Alabama","Lamar County","01075","00","01","075",4.8804161471,4.9696916296,25.080583648,10.116731518,,2,3,,14.34103,21.51154,3.2647730983,14.040620664,100,1113,12557.421714,,325,,,600.1,,,,15.7,"",51,16,362.1,135.3,20.686247914,13.901926643,0.7506765904,17.529524856,35,36.4,60.735418428,7.7,10.3,"No",11.563517915,9.8415346122,0.7166123779,1.5472312704,84.35207824,4485,40.6
"Lauderdale County, Alabama","Lauderdale County","01077","00","01","077",4.2925684613,4.5422093871,19.384356252,10.127171216,47,135,50,50.91098,145.88601,54.03186,2.5229594469,12.470815701,489,6837,8950.9558908,39,1480,29,52.175309038,433.2,10.452258409,48,7.3383274729,14.4,"",420,63,451.1,79.3,18.749838657,14.675525713,5.0380740879,58.831397167,34.6,28.2,50.982219116,7.5,11,"No",12.768712769,11.640142049,0.9971509972,0.4921004921,87.998573684,34550,29.1
"Lawrence County, Alabama","Lawrence County","01079","00","01","079",4.6446993533,4.74040373,21.412352234,8.5328185328,5,39,3,15.04031,118.0066,9.07743,3.5643037638,17.761253618,268,3559,11245.917551,19,676,17,65.88757499,539.6,17.101239337,,,14.9,"",102,24,304.7,85.6,21.1006472,15.400817329,2.1224881728,48.985118961,35,34.9,63.074058751,7.9,11.3,"No",11.451791651,9.8416289593,1.5367565571,0.664942741,86.642276423,10657,47.9
"Lee County, Alabama","Lee County","01081","00","01","081",4.1862444941,4.4031089733,19.3778864,8.3949848143,82,131,48,51.57525,81.06235,29.70224,2.6121808347,13.149372685,932,13562,7084.994902,90,1661,41,66.408411732,361.7,8.5848053134,90,7.3523404951,9.5,"",782,252,507,190.1,18.735733276,18.411056288,12.249503723,66.412115767,31.4,22.1,45.038038884,6.4,12.1,"No",19.914290712,18.245488013,1.9153402134,0.7783802694,84.749421525,60067,28.1
"Limestone County, Alabama","Limestone County","01083","00","01","083",4.043275324,4.3472540258,18.415583262,8.9658107533,33,38,25,35.57836,40.25338,26.48249,3.1796431287,14.134816094,711,7855,7645.1404859,45,1200,19,52.674704436,369,6.8144811311,46,6.4761368436,12.4,"",234,103,257.7,134.3,18.782646691,15.694380923,3.5183538564,60.35370008,33.6,27.3,43.191264967,8.2,11.8,"No",11.066273475,8.9965397924,1.9866521807,0.5587459258,88.309873732,34130,39.8
"Lowndes County, Alabama","Lowndes County","01085","00","01","085",5.3598503857,5.1214773594,30.048412052,14.207048458,1,,1,9.65437,,9.92457,3.0290281868,14.502164502,72,871,17068.203733,,244,,,689.1,,,,18.2,"",111,56,1049.1,644.3,22.357404909,10.758840108,13.062144953,4.867687406,46.2,32.9,69.76127321,4.5,10.9,"No",21.144859813,18.53188929,1.9626168224,1.7523364486,84.448991523,2889,60.1
"Macon County, Alabama","Macon County","01087","00","01","087",5.1694021738,4.8515590133,29.9782061,14.050822123,6,73,5,31.64056,389.22954,26.65956,2.194828623,12.847905538,73,1371,11805.597214,14,396,,103.24483776,574.2,,,,19.3,"",229,74,1178.9,438.7,21.789731149,11.820091953,21.63866443,32.267387656,46.7,30.7,66.287691547,3.9,11.7,"Yes",20.786516854,19.107711918,2.1223470662,0.6741573034,79.256060184,5689,36.4
"Madison County, Alabama","Madison County","01089","00","01","089",3.775368643,4.0359967125,14.718348073,9.5831040176,315,470,201,88.24345,130.17732,55.67158,2.1876091696,11.17398802,1816,24623,8015.2928784,203,4576,179,64.301755786,381.7,16.711760411,217,7.5107296137,12.9,"",1980,663,565.2,222.7,16.421107871,15.591933181,7.4673451232,69.156927341,31.8,21.9,36.916687496,7.5,11.6,"Yes",12.561245599,11.295180723,1.3428664755,0.616992705,87.74498412,147251,25.4
"Marengo County, Alabama","Marengo County","01091","00","01","091",5.1515753089,4.8260141372,27.404507555,12.287887654,8,6,5,40.66487,30.96774,25.80645,2.6974113552,13.020601088,124,1460,11227.691876,12,388,,66.032025532,541.4,,,,18.9,"",115,29,571.9,174,21.433259575,11.608091305,12.628970654,44.556998145,40.7,31.5,69.228764982,5.3,10.6,"No",18.115942029,16.489028213,1.3888888889,1.9927536232,87.970039743,5755,33.2
"Marion County, Alabama","Marion County","01093","00","01","093",4.5941142751,4.7683140467,20.860464269,8.779342723,9,3,6,30.002,10.05598,20.11196,2.6725717776,14.632854789,175,2487,10859.874083,15,625,,59.272138144,538.6,,,,17.8,"",73,31,241.2,120.3,20.818324633,13.824202599,3.2545426264,46.416038472,36.4,31.6,56.711264566,7.9,10.5,"No",12.22965002,10.587295246,1.2583562721,0.9437672041,85.295382234,9919,28.1
"Marshall County, Alabama","Marshall County","01095","00","01","095",4.7101504958,4.98102738,21.961210101,7.9701524819,56,220,31,58.85011,230.25076,32.44443,3.3772275994,18.104544299,813,9968,10530.241044,56,1792,49,59.734607672,532,17.167081246,60,6.559527714,12.5,"",202,90,213.4,115.6,21.59965441,14.571718343,5.187505411,61.560541395,33,32.9,54.968240817,8.1,11.8,"No",13.922942207,10.682122158,3.0502043199,1.0070052539,84.760142725,32069,29.3
"Mobile County, Alabama","Mobile County","01097","00","01","097",4.6302995393,4.4253812589,19.876171613,11.593906554,272,345,208,65.56808,83.34239,50.24701,2.5431928127,16.261502264,2576,40363,10333.268119,304,6980,182,76.980734558,490.5,14.62803793,361,9.2811600165,14.9,"",2840,1732,684.1,503.3,18.91319867,16.46166331,10.265925301,72.004542461,36.9,28.4,50.501166439,6.4,10.8,"No",17.030935858,15.052264808,1.9359232116,0.8852714184,86.061247275,147231,36.2
"Monroe County, Alabama","Monroe County","01099","00","01","099",5.0725714661,4.7905260827,26.169001034,12.242348532,8,15,5,37.15745,70.33338,23.44446,2.9738302934,15.862398471,150,1992,12279.621993,22,400,,111.95359015,525.4,,20,12.315270936,17.4,"",113,41,514.9,223.7,21.91414582,12.120587247,12.839526662,52.093809606,39.1,31.6,64.847099171,5,10.4,"No",12.314098751,12.980769231,0.987507436,0.6543723974,91.130747832,5569,31.9
"Montgomery County, Alabama","Montgomery County","01101","00","01","101",4.2554118139,4.3200480261,21.269137152,12.244897959,220,274,157,97.19504,120.89338,69.27102,2.366389438,14.519331243,1269,19453,9964.8736883,203,3377,45,94.700062045,457.6,6.6223801128,200,9.2476996347,13.3,"",2519,1343,1113.7,711.5,19.606464367,15.895815814,14.572141064,77.321102357,36.6,25.8,53.324719526,5.4,11.9,"No",18.837261253,16.875816251,1.9993298336,0.9326482743,84.816293051,84790,19.7
"Morgan County, Alabama","Morgan County","01103","00","01","103",4.6482707685,4.4578000847,20.483087595,8.5818255332,65,159,58,54.61634,133.81811,48.81415,3.086659831,14.295619199,873,10103,9337.445726,69,1951,58,63.021756206,454.7,16.228542649,79,8.0901177675,13.4,"",407,138,340.3,137.9,20.071585907,14.66605166,4.0842018116,57.306887606,31.5,27.2,47.716278833,8,11.6,"No",13.139396561,10.698642138,2.3791499946,0.4325727263,89.716147981,44597,35.4
"Perry County, Alabama","Perry County","01105","00","01","105",5.7646986118,5.343085588,32.304995819,14.921780987,3,3,2,31.33487,32.12335,21.41557,2.4987986545,14.689490446,52,738,14815.80916,,208,,,648,,,,20.1,"",96,24,977,292.6,23.270893537,11.763064458,4.8851175077,52.724010953,44.9,34.5,73.925104022,4.8,10.7,"No",20.289855072,14.701378254,6.3768115942,0.7246376812,84.747847478,2067,47.1
"Pickens County, Alabama","Pickens County","01107","00","01","107",4.9825218966,4.7546497828,25.139709675,12.605588044,8,3,2,39.36233,14.86915,9.91277,2.9987908102,14.841248056,124,1622,9928.3967334,20,340,,121.75077616,451.8,,24,15.374759769,16.3,"",111,46,545.1,256.1,21.423252604,13.836295055,0.8921588404,5.8847361491,36,27.4,72.748179379,6.9,10.5,"No",15.761935906,14.295347269,1.6873773708,0.5755395683,82.58302583,5595,48.4
"Pike County, Alabama","Pike County","01109","00","01","109",4.9194641547,4.8683110128,22.216030181,10.253499811,16,12,9,48.06826,36.07178,27.05384,3.4822104466,15.790794559,230,3146,10147.500327,16,502,,62.109390163,493.6,,22,8.1906180194,13,"",288,98,862.6,341.1,22.22820971,16.027800504,6.3043445736,62.445667042,42.8,26.1,75.679012346,6.3,11,"No",15.291357059,14.72880675,1.7989831834,0.4692999609,84.587966923,11866,25.5
