"Qualifying Name","Name of Area","FIPS","State","County","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Mentally Unhealthy Days per Month (Persons 18 Years and Over)","Physically Unhealthy Days per Month","Mentally Unhealthy Days per Month","Percent of Adults That Report Fair or Poor Health (Persons 18 Years and Over)","Adults That Report Fair or Poor Health","Percent of Low Birthweight Births (<2.5kg)","Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population","Percent Adults with Limited Access to Doctor Due to Costs","Health Care Costs Price-adjusted Medicare Reimbursements","Percent of Persons Without Insurance (Population Under 19 Years, 2012 est.)","Percent of Persons Without Insurance (Population 18 to 64 Years, 2012 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2012 est.)","Persons Without Insurance (Population Under 19 Years, 2012 est.)","Persons Without Insurance (Population 18 to 64 Years, 2012 est.)","Persons Without Insurance (Population Under 65 Years, 2012 est.)","Premature Deaths (Less Than 75 Years)","Years of Potential Life Lost (YPLL) Rate per 100,000 Population (Less than 75 Years)","Child Mortality (Death Counts)","Premature Age-adjusted Mortality (Death Counts)","Drug Poisoning Mortality (Death Counts)","Child Mortality Rate per 1,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Drug Poisoning Mortality Rate per 100,000 Population","Infant Mortality (Death Counts)","Infant Mortality Rate per 1,000 Live Births","Percent Diabetics (Adults)","Percent of Diabetic Medicare Enrollees Receiving Hba1c Test","Diabetics","Diabetic Medicare Enrollees (Out of Total Medicare Enrolles)","Chlamydia Cases (Count)","HIV Prevalence (Count)","Chlamydia Cases Rate per 100,000 Population","HIV Prevalence Rate per 100,000 Population","Teen Births Count (Female 15 to 19 Years)","Teen Births Rate per 1,000 Population (Females 15 to 19 Years)","Percent Current Smokers (Persons 18 Years and Over)","Percent Drinking Adults (Persons 18 Years and Over)","Current Smokers (Adults Over 18)","Drinking Adults","Percent of Persons with Limited Access to Healthy Foods","Percent of Persons with Access to Exercise Opportunities","Percent Obese Persons (20 Years and Over)","Percent Percent Physically Inactive Persons (20 Years and Over)","Persons with Limited Access to Healthy Foods","Persons with Access to Exercise Opportunities","Obese Persons (20 Years and Over)","Physically Inactive Persons (20 Years and Over)","Food Environment Index","Air Pollution Particulate Matter Average Daily PM2.5","Presence of Drinking Water Violations","Percentage of Households with Severe Problems","Percent of Driving Alone to Work","Long Commute Driving Alone Workers Who Drive Alone","Percent of Long Commute Driving Alone Workers Who Drive Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_NV002_001,SE_NV002_002,SE_T002_001,SE_NV003_001,SE_T003_001,SE_NV004_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV005_001,SE_NV005_002,SE_NV005_003,SE_T005_001,SE_T005_002,SE_T006_001,SE_T006_002,SE_T006_003,SE_NV007_001,SE_NV007_002,SE_NV007_003,SE_T007_001,SE_T007_002,SE_T008_002,SE_T008_003,SE_T008_004,SE_NV008_002,SE_NV008_003,SE_NV008_004,SE_T014_001,SE_NV013_001,SE_T009_001,SE_T009_002,SE_NV009_001,SE_NV009_002,SE_T010_002,SE_T010_003,SE_NV010_002,SE_NV010_003,SE_T015_001,SE_NV014_001,SE_T011_001,SE_T011_002,SE_NV011_001,SE_NV011_002,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_NV012_001,SE_NV012_002,SE_NV012_003,SE_NV012_004,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_007,SE_T016_008,SE_T016_009
"Autauga County, Alabama","Autauga","01001","01","01001",5.1,3.6,396,403,22.8,407,9.0850790936,425,18,8,16,32.42425,14.48069,28.96137,15.6,9939.29,3.710341,16.853899,12.836707378,559,5656,6138,754,8405.21,24,754,31,41.16214,431.9,8.233797,38,8,12.1,84.615384615,4748,689,282,81,508,181.1,531,36.499862524,21.7,16.7,409,394,9.7935303961,73.683824742,31.3,27.9,5344.4274725,40210,"","",7.2,12.92,0,12.25,88.51888668,21372,42
"Baldwin County, Alabama","Baldwin","01003","01","01003",3.3,3.8,1622,1628,12.7,1664,8.6701816052,1332,144,157,91,75.47565,80.29048,46.53779,14.4,9501.9,5.356782,19.904934,15.790291866,2388,22278,24378,2460,7456.89,95,2460,192,56.16018,360.8,15.292347,96,6.4,11.5,81.060299474,16021,2471,682,288,357.5,188.1,1750,44.532661526,20.6,17.9,1657,1600,5.4602606243,73.61808356,25,25.2,9952.144027,134180,"","",7.6,13.13,2134.5,14.09087697,83.694910629,67474,34.9
"Barbour County, Alabama","Barbour","01005","01","01005",4.8,4.3,414,416,23.4,423,11.877875366,284,12,1,10,44.11603,3.69331,36.93308,16.9,10413.95,4.546211,22.83955,17.528430629,273,3227,3468,414,8900.51,20,414,,84.08661,443.7,,34,13.5,14.8,85.714285714,3085,504,195,90,716.9,388.1,425,72.873799726,25.1,13.5,425,414,11.420315716,44.145390975,38.4,32.3,3135.6760862,12121,"","",5,12.62,19075.5,18.561001043,82.200152788,7532,33.1
"Bibb County, Alabama","Bibb","01007","01","01007",4.7,5.1,367,370,17.9,379,12.787436904,228,6,,4,26.5522,,17.7683,16.3,10825.24,4.205701,19.283681,15.104645814,211,2439,2627,407,10729.22,22,407,30,107.95956,539.7,18.932103,25,13.9,12.7,82.874617737,2181,327,84,21,371.7,106.7,254,50.850850851,25.9,11.2,379,366,2.1446609917,39.437049967,37.3,33.2,491.44906624,9037,"","",7.6,12.87,0,9.5501730104,83.212237094,6528,47.5
"Blount County, Alabama","Blount","01009","01","01009",5.9,3.9,360,358,24.2,367,7.6907549455,381,17,3,11,29.39854,5.18385,19.00746,17.3,10280.81,5.877066,23.345169,18.295760083,850,8087,8846,861,8668.52,28,861,73,49.82206,430.5,18.298216,31,6.3,13.2,86.12244898,5578,735,93,44,160.8,92.8,610,47.239216294,21.3,5.5,368,362,1.0624676536,25.508530756,30.9,29.8,609.02770839,14622,"","",8.5,12.66,0,11.834884276,83.330380868,18816,58.4
"Bullock County, Alabama","Bullock","01011","01","01011",4.2,,101,,23,104,13.632514818,161,4,3,2,38.1898,28.19814,18.79876,16.7,9975.59,4.114335,23.206107,17.551900782,95,1216,1302,180,10743.52,12,180,,127.07826,498.5,,,,17.6,77.114427861,1426,201,101,38,964.3,409.1,212,84.596967279,37.8,,103,,20.151730144,23.437786329,43.2,32.8,2199.3598279,2558,"","",3.8,12.75,2167.5,13.430851064,82.531771742,3312,46.8
"Butler County, Alabama","Butler","01013","01","01013",3.9,3.5,358,358,19.9,372,10.803757829,207,7,5,5,34.47087,24.67308,24.67308,18.5,11377.53,3.694479,21.600133,16.601761428,178,2608,2771,375,10357.46,10,375,13,50.74854,528.1,8.93907,,,16.1,86.061946903,2462,452,150,38,738.7,219.8,287,63.341425734,30.5,10.9,373,356,2.8320291145,50.069222323,38.4,37.3,593.22513862,10488,"","",6,12.82,13395,17.799752781,88.205604994,6641,32.9
"Calhoun County, Alabama","Calhoun","01015","01","01015",5.2,5.1,1418,1426,22.7,1458,8.6887991331,882,75,107,61,63.9408,91.65981,52.25466,18.4,11404.65,3.687423,19.651097,15.292822681,1015,13968,14866,2081,10538.61,84,2081,99,77.94232,527.2,12.05992,87,8.3,13.2,80.55433348,11563,2273,803,184,684.6,185.4,1414,49.328449328,24.4,11.6,1456,1404,10.043823886,56.768039672,31.5,33.2,11909.162858,67311,"","",6.4,12.89,0,14.512792597,85.632235284,38317,28
"Chambers County, Alabama","Chambers","01017","01","01017",5,4.3,359,371,38.5,385,11.880832735,331,14,,8,41.09911,,23.41783,22.5,8948.13,3.858025,20.479759,16.042569965,300,4209,4477,686,11863.82,18,686,24,58.84084,567.2,9.960283,25,8.7,15.7,85.681293303,4023,866,297,92,871.9,318.2,470,59.728046766,24.1,,385,,8.821524906,62.823323104,39.7,35.3,3018.2847466,21495,"","",5.7,12.97,0,17.146017699,86.543347094,10901,34.3
"Cherokee County, Alabama","Cherokee","01019","01","01019",6.1,5.2,199,201,24.2,208,8.9470480828,147,7,6,4,26.90135,22.89814,15.26543,17.1,10850.5,4.463809,20.915117,16.654691766,251,3250,3477,512,10513.33,14,512,30,63.62769,499.1,16.613503,,,13.7,91.713747646,2745,531,50,26,192.2,119.8,263,51.558517938,24.4,14.9,208,199,0.1326863763,32.879295086,30.3,29.8,34.483862348,8545,"","",7.9,12.93,0,11.555169418,82.829614604,8167,42.9
"Chilton County, Alabama","Chilton","01021","01","01021",4.6,4.9,339,344,20.5,347,9.8194410092,397,8,15,9,18.25692,34.12892,20.47735,14.7,10167.64,5.98942,24.547784,19.172699626,668,6514,7124,767,10911.4,35,767,57,80.33788,530.5,18.794575,40,9.9,13.2,88.812785388,4211,438,155,35,353.7,98.7,573,58.314675351,20.1,9.3,346,337,1.6886043046,32.58025342,37,31.8,736.95757665,14219,"","",7.9,12.93,0,16.897081413,81.455559349,14315,47.2
"Choctaw County, Alabama","Choctaw","01023","01","01023",5.6,4.6,499,495,31.6,517,11.111111111,116,5,,6,36.67571,,44.68941,25.2,11908.38,4.771115,20.393336,16.122823098,148,1628,1759,253,13411.64,15,253,,121.82246,531.1,,,,17.4,85.411764706,1792,425,75,30,550.1,258,138,42.292368986,19.9,,516,,11.628068422,26.928349809,40.2,34.8,1611.5340026,3732,"","",5.9,12.82,1776,13.455953533,85.23225241,3890,42.7
"Clarke County, Alabama","Clarke","01025","01","01025",4.4,3,388,389,21.8,398,12.620423892,262,12,9,7,47.69286,35.70437,27.77006,12.6,9421.77,4.524306,22.081167,17.033631744,282,3270,3520,425,10709.34,18,425,,71.6903,480.7,,21,9.7,15.2,76.850094877,2831,527,224,25,890.3,117.8,288,41.890909091,13.7,8.8,398,389,11.232512663,39.403089072,35.2,31,2901.6949963,10179,"","",5.1,13.01,2331,15.194733955,85.04872831,7156,32.5
"Clay County, Alabama","Clay","01027","01","01027",6,5.3,186,187,28.6,193,11.385199241,120,5,1,2,37.21623,7.4151,14.83019,22.3,9933.85,5.75493,23.754886,18.824829619,178,1884,2044,259,8958.63,,259,,,490.8,,,,14.9,82.329317269,1524,249,61,17,454,143.7,167,52.881570614,26.2,,195,,1.9289483357,21.109675567,37.4,37.6,268.74108213,2941,"","",7.3,12.92,825,14.652956298,82.397232397,4049,40.1
"Cleburne County, Alabama","Cleburne","01029","01","01029",5.9,5.2,149,148,20,151,8.764940239,110,3,6,1,20.22654,40.01601,6.66933,22.7,11159.05,4.592843,20.416999,15.968672712,163,1792,1937,282,10438.28,10,282,11,71.57684,523.9,10.600571,,,12.8,85.947712418,1426,306,57,15,384.3,123.2,200,57.388809182,18.9,,150,,0.5369355548,38.49853059,30.4,34.1,80.389991266,5764,"","",8.1,12.96,525,14.402173913,78.873738268,4454,47.4
"Coffee County, Alabama","Coffee","01031","01","01031",3.5,3.6,521,527,18.4,540,8.5964163823,403,23,25,16,44.8763,49.07927,31.41073,14.5,9329.94,4.949875,20.470664,16.01539853,632,6350,6906,670,8015.02,34,670,21,70.13635,398.4,6.115887,45,9.8,13,87.421383648,4831,954,328,58,640,140.3,512,44.688836519,17.7,9.8,539,524,7.4254116576,70.79362537,28.5,29.7,3708.8446147,35360,"","",7.1,12.61,652.5,12.074468085,84.710723796,17497,24.3
"Colbert County, Alabama","Colbert","01033","01","01033",4.4,4.8,723,724,25.9,743,9.9659477866,439,30,10,22,55.10047,18.34189,40.35216,17.7,10688.78,3.870132,18.12794,14.310139254,478,5934,6361,949,10657.09,38,949,19,79.45137,493.3,4.984469,40,9.1,14.9,88.786373314,6161,1409,372,51,683.2,111.1,634,52.288659794,29.6,7.4,747,725,5.0898157401,46.534871757,33.9,31.9,2770.284911,25328,"","",7.2,12.71,0,14.023297491,88.841935331,18711,26
"Conecuh County, Alabama","Conecuh","01035","01","01035",4.4,5.2,197,200,18.3,204,13.703703704,148,5,4,2,38.51783,31.03903,15.51952,21.5,11037.28,4.722589,23.344305,18.209669698,143,1773,1902,290,13362.3,14,290,,116.94929,593.6,,,,18.5,71.768707483,1826,294,105,31,808.9,280.5,171,54.87804878,22.9,,203,,14.783095042,0.1285152706,39.1,35.4,1955.5078121,17,"","",4.6,12.86,0,20.59447983,94.943820225,3549,42.6
"Coosa County, Alabama","Coosa","01037","01","01037",4,4.6,146,147,25.8,151,12.103746398,84,,,,,,,25,9815.42,5.275023,20.248175,16.70775437,117,1387,1491,239,12159.87,,239,,,574,,,,16.2,84.31372549,1393,204,52,13,474.2,132.7,113,49.237472767,30,,149,,6.5244803226,26.293439639,37.2,31.9,752.85978442,3034,"","",6.8,12.93,0,15.862808146,82.915360502,3174,43.9
"Covington County, Alabama","Covington","01039","01","01039",4.2,5.2,409,415,25,426,9.4177537385,296,18,19,13,47.42458,50.15045,34.31347,20,10625.98,4.365079,22.276577,17.286745407,385,4918,5269,647,9667.05,25,647,13,73.34605,469.3,4.923441,28,8.8,13.8,82.112068966,3947,928,191,41,503.2,130.4,564,68.579766537,28.7,10.9,428,419,3.0467534329,56.578842844,32.3,37.5,1150.606434,21367,"","",7.3,12.71,0,16.383989145,80.700320185,11846,24.1
"Crenshaw County, Alabama","Crenshaw","01041","01","01041",4,3.8,166,169,20.3,169,9.0121317158,104,2,3,2,14.20152,21.45002,14.30001,14.8,10459.28,5.028902,20.985748,16.430280246,174,1767,1923,214,9103.29,,214,,,442,,,,15.9,78.947368421,1638,323,66,20,468.7,176.4,171,53.571428571,16.6,,169,,15.835373555,35.588954408,37.1,32.3,2202.0670465,4949,"","",5.9,12.75,0,11.681415929,80.312722104,4520,47.2
"Cullman County, Alabama","Cullman","01043","01","01043",3.9,4.4,434,441,21.4,444,9.1620429649,644,45,72,35,55.94232,89.09678,43.31094,17.2,10210.16,5.097293,23.010521,18.059690215,964,11089,11951,1293,8966.62,37,1293,55,49.86321,452.2,9.810462,45,6.4,13.4,89.333333333,8025,1500,255,40,317,58.8,1011,56.054557552,22,10.9,444,438,3.1533742988,38.133970102,34.4,30.8,2535.5021387,30662,"","",7.8,12.53,0,13.996492906,82.994000808,26700,34.2
"Dale County, Alabama","Dale","01045","01","01045",4.9,3.9,488,499,21.2,506,8.55377486,443,9,35,17,17.84157,70.16278,34.07906,12.6,10429.63,3.71595,19.179982,14.689039191,472,5810,6233,724,8570.52,32,724,28,64.87188,440.6,8.022256,34,6.4,14.5,83.350151362,5317,991,276,131,547.1,317.3,503,48.430579626,21.2,14.4,506,494,10.283822567,49.443792163,34.4,30.5,5167.7236781,24846,"","",6.4,12.52,0,11.385248008,84.739506932,17908,25.8
"Dallas County, Alabama","Dallas","01047","01","01047",3.9,3.6,1069,1085,25.2,1113,12.774846086,581,33,20,14,76.98768,47.62358,33.33651,23.8,9831,3.447087,19.412324,14.520714305,400,4902,5261,856,12349.09,33,856,16,71.90012,598.5,5.219258,34,7.1,16.4,76.683291771,5017,802,654,129,1525.8,362.5,863,71.677740864,20.6,12,1109,1051,11.56345443,58.961661342,41.7,33.2,5067.1057312,25837,"","",3.6,12.93,0,23.529411765,81.818181818,11079,21.1
"DeKalb County, Alabama","DeKalb","01049","01","01049",4.7,4.9,437,439,20.4,450,8.5830447222,570,29,13,17,40.7991,18.30651,23.93928,20.2,10505.08,6.4466,28.20007,21.69327961,1203,12009,13083,1091,9412.58,43,1091,78,58.82836,468.7,15.834316,51,7.4,13.6,89.646672145,6981,1217,212,44,298.3,76.2,976,59.108527132,18,10.1,447,440,2.2543408441,42.448916452,32.1,29.4,1603.0392308,30185,"","",7.8,12.93,996,14.372971941,85.88863746,23153,28.8
"Elmore County, Alabama","Elmore","01051","01","01051",4.4,4.4,502,501,16.7,508,8.9541648929,631,24,11,11,29.76597,13.5967,13.5967,15.1,10302.72,4.399814,16.803897,13.201774042,850,7796,8543,1059,8198.17,54,1059,37,72.44433,406.2,6.742056,50,7.1,13.3,83.799830365,7910,1179,442,149,548.2,224.1,796,42.065211647,21.4,10.3,508,493,6.5595762142,67.953293066,30.1,30.5,5201.9407252,53889,"","",7.4,12.91,6345,12.390956026,86.18219958,28759,44.8
"Escambia County, Alabama","Escambia","01053","01","01053",5.2,4.7,600,598,28.1,613,10.932475884,374,18,13,15,47.3759,34.22584,39.49135,14.9,10882.47,5.31352,25.564896,19.617307361,472,5261,5690,710,11112.08,29,710,70,83.60481,542.5,26.306098,34,9.7,13.4,81.905910736,3839,829,210,52,552.7,163,590,68.429598701,20.9,7.7,614,602,7.5767133252,60.800125264,38.3,37.4,2903.3207791,23298,"","",6.1,12.92,712.5,14.285714286,85.955010884,10661,29.7
"Etowah County, Alabama","Etowah","01055","01","01055",5.2,5,1065,1070,22.7,1103,8.5222016651,737,79,102,48,75.6763,98.14204,46.18449,18.8,12060.34,4.402388,21.430976,16.716985091,1084,13371,14341,1966,11056.55,68,1966,92,71.05018,538.1,12.620183,88,10,14.9,84.137931034,11599,2320,736,130,705,148,1277,53.748053369,26,10.7,1100,1067,8.6193857882,43.702001341,33.8,32.2,9001.2245786,45638,"","",6.8,12.79,3202.5,14.480077745,86.237600562,33123,27
"Fayette County, Alabama","Fayette","01057","01","01057",5.6,5.2,263,268,31.8,274,9.9616858238,130,7,2,5,41.21769,11.82802,29.57005,16.4,9877.93,3.972994,19.66142,15.438341215,153,1986,2122,355,11626.95,12,355,21,79.08264,562.1,17.277267,,,17.6,80.952380952,2265,357,84,14,494.6,93.9,199,51.849921834,14.1,,273,,1.3296278874,28.826634186,36.3,30.6,229.24114407,4970,"","",7.6,12.47,0,10.359116022,84.148760331,5091,31.6
"Franklin County, Alabama","Franklin","01059","01","01059",5,4.4,352,363,24,372,8.7795765878,282,15,3,7,47.22773,9.51414,22.19967,16.7,11627.73,5.797101,25.981013,20.063670412,472,4926,5357,605,11760.89,25,605,39,79.45084,575.1,17.684268,28,8.6,12.8,85.294117647,2959,714,114,13,358.9,50.4,459,62.482983937,24.5,,370,,3.6438945765,58.838001514,33.5,33.4,1155.2603365,18654,"","",7.5,12.27,0,15.03030303,81.620711767,10183,33.3
"Geneva County, Alabama","Geneva","01061","01","01061",4.3,3.4,307,308,28.3,317,9.0538705297,200,6,4,2,22.27916,14.96614,7.48307,22.4,10332.71,4.852798,24.289711,19.034803631,300,3907,4173,485,9085.88,14,485,13,58.78648,480.2,6.974473,,,13.4,86.798179059,2711,659,122,32,453,143.8,320,53.817692566,32.5,12.6,312,302,0.9303119503,32.396416573,34.5,31.3,249.23057149,8679,"","",7.7,12.52,0,14.370982553,83.85924651,8770,42.7
"Greene County, Alabama","Greene","01063","01","01063",5.1,5.3,190,205,27.1,207,15.985997666,137,3,1,1,33.79901,11.43641,11.43641,16.4,9557.26,4.34385,20.579928,15.981549315,95,1093,1178,166,11968.42,,166,,,530.9,,,,18.8,86.979166667,1232,192,115,18,1295.6,242.8,120,51.282051282,18.1,,206,,20.954377728,16.296296296,48.1,32.9,1895.3234655,1474,"","",2.9,12.87,2085,18.628912072,74.515024724,1959,48.8
"Hale County, Alabama","Hale","01065","01","01065",3.9,4.1,358,357,21.1,373,14.144968332,201,2,3,2,12.99714,19.47293,12.98196,,9898.07,4.22425,20.904767,16.083418911,162,1890,2036,284,10097.78,,284,,,523.3,,,,14.9,77.14987715,1681,407,220,37,1429.7,283.7,190,43.577981651,,,,,0.2262691368,61.275380711,36.2,34.6,35.660015955,9657,"","",6.1,12.92,0,18.003412969,83.496978852,4422,40.4
"Henry County, Alabama","Henry","01067","01","01067",4,3.5,270,275,18.4,277,8.5889570552,112,5,3,5,28.92347,17.34505,28.90842,11.5,9678.49,5.029732,21.247758,16.714822306,203,2132,2314,321,10462.14,14,321,11,89.82996,488.4,9.133633,,,14.7,86.1575179,1928,419,98,25,566.9,172.6,180,46.801872075,17,,274,,0.9988050068,30.13524448,34.1,29.8,172.81324228,5214,"","",7.6,12.46,0,12.822402358,86.928604189,5686,33.7
"Houston County, Alabama","Houston","01069","01","01069",4.5,4.3,1141,1148,20.7,1169,8.7833578483,836,93,141,59,89.94023,136.01111,56.91245,15.8,10053.02,3.819606,21.454704,16.37371521,985,13312,14178,1382,8128.29,72,1382,77,72.27755,404.1,10.990987,80,8.5,13.5,86.499727817,10132,1837,810,265,783.4,315.8,1257,54.835754482,18.4,13.3,1170,1126,7.3320376719,53.549587876,32.9,30.1,7445.4642947,54378,"","",6.7,12.37,0,12.883116883,88.719574788,38892,26
"Jackson County, Alabama","Jackson","01071","01","01071",5.8,5.3,272,267,28,279,8.5529468136,357,31,22,17,58.46961,41.54785,32.10515,18.7,10568.3,4.618805,21.753277,17.147259014,561,6953,7457,1049,11272.54,40,1049,43,83.87327,533.1,11.517682,36,8.5,14.8,82.519462137,5965,1413,115,29,216.9,64.3,628,53.914835165,22.1,8.4,278,274,4.0849241392,44.808086122,29,32.9,2174.2825716,23850,"","",7.7,13.16,8512.5,11.881645862,88.422883649,18300,36.4
"Jefferson County, Alabama","Jefferson","01073","01","01073",3.7,3.9,4268,4284,17.8,4351,11.417989418,7553,660,915,521,99.99864,138.74589,79.00176,15,9420.12,3.97557,18.628724,14.526237089,6353,75296,80825,9927,10234.5,538,9927,532,86.92294,480.6,11.556643,743,11.2,12.5,84.017467249,60880,5725,5509,3244,834.7,592.9,7291,47.18605193,21.2,14.5,4327,4190,11.421992034,79.596516753,32.9,27.7,75209.934064,524116,"","",6,12.71,0,17.658397425,84.786034544,243185,31.8
"Lamar County, Alabama","Lamar","01075","01","01075",7.1,6,234,237,28.5,245,10.070671378,114,1,2,3,7.01311,14.04889,21.07334,12.9,10412.99,4.97822,21.317783,16.873514655,160,1773,1917,285,8782.45,,285,11,,501.9,10.74859,,,15,79.778393352,1631,361,50,11,350.7,89.6,174,56.420233463,26.1,,245,,0.3583712258,23.564954683,32.8,35.5,52.19318532,3432,"","",7.6,12.4,0,11.637572735,82.352941176,4564,32.5
"Lauderdale County, Alabama","Lauderdale","01077","01","01077",4.6,3.6,1164,1168,19.2,1189,9.9750623441,680,45,103,46,48.62657,110.99497,49.57057,12.2,9308.33,3.994287,20.713333,16.325848257,811,11493,12207,1433,9140.85,48,1433,77,60.52124,441.4,11.953533,54,7.9,12.3,86.535303777,8662,1827,404,47,436.6,60.2,791,34.930448223,17.7,6.3,1186,1153,5.5793306058,63.19451186,31.2,29.5,5172.5416113,58587,"","",7.3,13.06,0,14.941928749,86.668570538,33383,31
"Lawrence County, Alabama","Lawrence","01079","01","01079",4.6,5.5,203,206,23.5,209,9.6998535871,265,8,19,2,23.64206,56.56951,5.95468,13.8,11092.23,5.072915,23.105769,18.194620476,407,4806,5168,610,11348.44,22,610,38,69.84127,510,15.891204,23,8.3,15.5,85.579514825,3937,742,153,24,452.2,84.6,427,52.32201936,27.8,,210,,1.6444582678,48.880281895,38.6,36.1,564.69052459,16785,"","",7.8,12.54,0,10.088691796,89.822281375,11473,46.3
"Lee County, Alabama","Lee","01081","01","01081",3.7,5.2,617,620,17.5,626,7.7860587462,888,66,105,43,44.8196,69.56729,28.48946,14.6,8413.51,4.339079,19.056239,15.347084644,1445,18528,19754,1342,6771.29,67,1342,58,53.14297,357.5,6.00885,86,7.8,9.7,83.283403235,10145,1669,714,202,484.9,170.3,1093,23.937276888,18.3,17.8,625,606,11.351680284,62.978887249,30,24.1,15920.391048,88326,"","",6.2,12.89,73581,19.211599456,82.638813388,53207,26.2
"Limestone County, Alabama","Limestone","01083","01","01083",3.6,3.1,372,368,20.7,376,9.1155879411,638,28,29,25,31.94378,32.64112,28.13889,12.6,9977.86,4.246205,20.726127,16.024922799,912,10915,11728,1104,8037.89,39,1104,67,48.48274,396.3,11.844152,49,7.3,11.7,87.703016241,7435,1293,244,111,278.4,161.6,731,41.409392171,21.9,8.6,375,371,3.9498614551,52.829117441,33.4,31,3269.7743098,43733,"","",7.9,13.02,29647.5,11.810512654,87.795695904,31250,39.1
"Lowndes County, Alabama","Lowndes","01085","01","01085",4.8,4.2,274,282,35.8,289,13.740458015,162,1,,,9.21065,,,27.2,9288.25,4.28677,20.03367,15.539425932,116,1309,1413,242,14512.99,12,242,,110.45655,645.3,,,,21.6,83.431952663,1748,169,119,50,1096.1,536.2,203,61.890243902,22.6,16.3,289,277,26.219250052,5.7527214798,43.7,32.1,2962.5130634,650,"","",2.8,12.87,0,26.571767497,79.158019567,2670,56.3
"Macon County, Alabama","Macon","01087","01","01087",3.7,2.9,212,220,24.7,224,11.822660099,192,7,62,5,34.08814,314.91264,25.39618,15.1,8463.88,3.417969,19.126557,15.258021305,140,2273,2392,354,10274.17,10,354,,59.30495,509.9,,21,12.2,17,84.307692308,2657,325,253,102,1232,549.1,270,32.475342795,13.8,,225,,19.21284519,48.181987693,41.7,32,4121.5395502,10336,"","",3.4,12.83,10533,20.734744707,75.164716956,5590,39.3
"Madison County, Alabama","Madison","01089","01","01089",3.4,3.5,1981,1991,14.1,2019,10.283333907,2987,287,358,190,83.65396,103.20215,54.77209,12.5,9835.03,3.777575,17.417352,13.659187979,3108,36980,39688,3916,7578.55,180,3916,169,56.7981,367.5,7.3561,235,8.3,11,86.208378088,27524,4655,1723,595,502.2,212.7,2667,32.472513424,18.3,11.4,2005,1941,8.1045192152,80.849195516,30.6,24.6,27134.82183,270692,"","",7.1,13.05,0,12.372933964,86.472158561,137342,23.2
"Marengo County, Alabama","Marengo","01091","01","01091",4.8,4.5,773,780,26.4,795,12.79516749,233,8,4,5,39.21376,19.84619,24.80774,18.9,9347.28,4.118583,19.630311,15.160069674,207,2347,2524,364,10880.75,15,364,,73.9645,514.3,,,,17.8,76.659528908,2699,467,144,22,705.8,128.4,261,46.474358974,16.8,12.8,795,775,15.139067414,54.667808056,42.3,33.8,3183.2917051,11495,"","",4.9,12.98,0,14.413875598,83.268912203,6032,27.3
"Marion County, Alabama","Marion","01093","01","01093",4.6,4.3,430,440,23.7,449,9.2082616179,214,18,4,6,59.35305,13.18652,19.77979,16.3,10849.96,3.885934,20.203726,15.806651518,263,3590,3826,640,12631.74,24,640,,90.74067,568,,24,10.1,14.9,89.216944801,3470,779,80,28,263.8,106.8,379,59.329993738,26.9,,446,,0.6361068717,51.228229789,34.1,36.6,195.76825084,15766,"","",7.6,12.22,4264.5,12.456071847,83.763574862,9410,26.5
"Marshall County, Alabama","Marshall","01095","01","01095",4.8,4.8,511,507,21.2,524,7.9037800687,782,58,177,30,61.19693,186.78767,31.65893,19.7,11146.45,5.497669,24.17396,18.561292271,1356,13535,14754,1610,10387.89,72,1610,62,76.63896,510,9.641402,93,9.1,13.8,83.439490446,9384,1570,245,79,258.5,103.6,1442,68.856842708,27.7,11.6,520,504,6.5607307182,64.705060257,33.9,32,6102.7261068,60188,"","",7.4,12.73,0,13.835477808,79.04193242,29123,31
"Mobile County, Alabama","Mobile","01097","01","01097",4.5,4.8,3801,3836,22.6,3897,11.812656762,4898,263,313,200,63.53639,75.58944,48.29996,18.6,9985.04,4.474787,23.039666,17.670131008,4729,57939,62125,6346,10200.56,320,6346,374,77.69706,482.7,13.03442,343,8.2,12.9,84.269119071,38712,4132,3377,1765,815.8,519.7,5875,56.525713186,23.8,14.7,3889,3766,10.588538773,73.515951883,35.9,28.9,43729.818048,303615,"","",5.9,12.95,16200,17.334875353,84.671624332,141869,32.3
"Monroe County, Alabama","Monroe","01099","01","01099",5,5,307,309,25.7,318,15.476810839,297,7,11,5,30.97071,49.46933,22.48606,26.8,9813.61,4.593886,21.463964,16.528660719,263,2859,3094,400,11068.15,18,400,12,78.11144,512.3,7.403751,,,16,74.352941176,2647,425,121,32,535.4,168.1,343,57.598656591,20.7,,319,,16.946562216,53.446332582,36.3,33.9,3909.2329719,12329,"","",4.5,12.96,0,16.992733371,87.098115299,6285,31.9
