"Qualifying Name","Name of Area","FIPS","Nation","State","County","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Mentally Unhealthy Days per Month (Persons 18 Years and Over)","Percent of Adults That Report Fair or Poor Health (Persons 18 Years and Over)","Percent of Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population","Percent of Persons Without Insurance (Population Under 19 Years, 2013 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2013 est.)","Persons Without Insurance (Population Under 19 Years, 2013 est.)","Persons Without Insurance (Population Under 65 Years, 2013 est.)","Premature Deaths (Less than 75 Years)","Years of Potential Life Lost (YPLL) Rate per 100,000 Population (Less than 75 Years)","Child Mortality (Death Counts)","Premature Age-adjusted Mortality (Death Counts)","Drug Poisoning Mortality (Death Counts)","Child Mortality Rate per 100,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Drug Poisoning Mortality Rate per 100,000 Population","Infant Mortality (Death Counts)","Infant Mortality Rate per 1,000 Live Births","Percent Diabetics (Adults)","Diabetics","Chlamydia Cases (Count)","HIV Prevalence (Count)","Chlamydia Cases Rate per 100,000 Population","HIV Prevalence Rate per 100,000 Population","Percent Current Smokers (Persons 18 Years and Over)","Percent Drinking Adults (Persons 18 Years and Over)","Percent of Persons with Limited Access to Healthy Foods","Percent of Persons with Access to Exercise Opportunities","Percent Obese Persons (20 Years and Over)","Percent Percent Physically Inactive Persons (20 Years and Over)","Percent of Children Eligible for Free Lunch (Persons < 18 Years)","Food Environment Index","Air Pollution Particulate Matter Average Daily Pm2.5","Presence of Drinking Water Violations","Percentage of Households with Severe Housing Problems","Percentage of Households with High Housing Costs","Percentage of Households with Overcrowding","Percentage of Households with Lack of Kitchen or Plumbing Facilities","Percent of Driving Alone to Work","Long Commute Driving Alone Workers Who Drive Alone","Percent of Long Commute Driving Alone Workers Who Drive Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T002_001,SE_T003_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T006_001,SE_T006_003,SE_NV005_001,SE_NV005_003,SE_T007_001,SE_T007_002,SE_T008_002,SE_T008_003,SE_T008_004,SE_NV006_002,SE_NV006_003,SE_NV006_004,SE_T014_001,SE_NV009_001,SE_T009_001,SE_NV007_001,SE_T010_002,SE_T010_003,SE_NV008_002,SE_NV008_003,SE_T011_001,SE_T011_002,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T016_006,SE_T016_007,SE_T016_008,SE_T016_009
"Autauga County, Alabama","Autauga County","01001","00","01","001",4.7438888672,4.6540313965,20.882987328,8.6195286195,25,13,18,45.0418,23.38087,32.37352,2.6691540504,11.14898915,372,3761,791,8128.5911903,30,791,18,55.922156358,417.54755051,10.809447457,35,7.9401088929,11.1,"",226,101,407.2,219.1,18.08155718,15.026031257,11.991125,69.130124059,33.3,34.7,43.408673083,7.2,11.7,"No",14.663461538,12.826718296,1.2019230769,1.3461538462,86.523661372,24428,39.6
"Baldwin County, Alabama","Baldwin County","01003","00","01","003",4.2245192015,4.3040564688,17.50913436,8.3450031827,155,210,108,72.89727,96.32055,49.53629,3.538763291,14.348524769,1714,17590,2967,7354.1225298,87,2967,87,47.381749857,353.34311052,13.610486645,87,5.5467006694,10.7,"",691,292,325,166.5,17.489032597,17.958310103,5.424426597,73.713548953,31,26.5,48.486564722,8,10.3,"No",13.566200931,12.277388019,1.2707917498,0.4790419162,84.282432728,91420,41.7
"Barbour County, Alabama","Barbour County","01005","00","01","005",5.4302788594,5.1855944125,29.591801708,11.474558671,8,2,9,31.65809,8.03826,36.17218,2.9135338346,16.08583414,155,1994,472,10253.573403,16,472,,74.225273706,497.35006209,,,,17.6,"",181,92,716.3,420.6,21.999984528,12.844015554,10.739666573,53.166769858,41.7,23.5,63.292302039,5.6,11.5,"No",14.583333333,13.445945946,1.6885964912,0.6030701754,83.368470368,8538,32.2
"Bibb County, Alabama","Bibb County","01007","00","01","007",4.5914824378,4.5516988486,19.439724157,10.308710033,11,5,5,48.52656,22.32143,22.32143,2.6178010471,13,125,1612,471,11977.539484,16,471,19,85.8000858,589.04111681,28.060433312,21,12.244897959,14.5,"",77,38,339.7,196.8,19.114199885,15.570042367,2.6016270077,16.251363736,37.6,33.5,61.562115621,7.8,11.2,"No",10.496453901,9.9782766112,0.2553191489,0.7092198582,84.910646866,7946,49.8
"Blount County, Alabama","Blount County","01009","00","01","009",4.8608076303,4.8914546677,21.745292814,7.6045627376,13,9,11,22.40877,15.56017,19.01798,4.0772837051,17.082341882,574,5815,1085,11335.071134,45,1085,42,83.798882682,515.61182276,24.199542513,32,6.8419927304,17,"",136,48,234.4,99.8,19.20867197,14.230593827,2.8801498232,15.634485887,33.8,30.3,52.90628707,8.4,11.7,"No",10.548011639,7.851445663,1.8913676043,1.0911736178,86.17836202,21148,59.4
"Bullock County, Alabama","Bullock County","01011","00","01","011",5.3591593432,4.8913510426,30.999101851,15.688487585,3,2,2,29.10079,19.72776,19.72776,2.2854477612,15.240963855,49,759,203,11679.558981,13,203,,149.61445506,562.24752995,,,,23.7,"",89,56,863.3,632.9,22.894664011,12.094101229,19.743350741,2.5013743815,37.2,24.6,75.786593707,4.3,11.2,"No",18.143459916,15.210449927,0.1125175809,3.094233474,79.060913706,3940,46
"Butler County, Alabama","Butler County","01013","00","01","013",5.4008061965,5.340750195,27.910673184,12.680288462,5,10,6,25.22068,50.81301,30.4878,2.6594594595,14.505765338,123,1648,423,14359.939103,18,423,,98.19431564,609.16970743,,,,19.2,"",151,52,761.7,311,21.765334963,11.85740343,2.9261219306,48.57974889,43.3,39.5,79.15713819,6.6,10.6,"Yes",13.159609121,11.692307692,1.6938110749,0.3908794788,83.833183164,7769,32.3
"Calhoun County, Alabama","Calhoun County","01015","00","01","015",4.8803767403,4.8160722877,23.107733221,9.1613736678,73,132,67,63.62876,115.50881,58.62947,2.4385508484,15.388687124,628,10466,2373,12078.616145,66,2373,63,65.813090822,574.56384163,18.334419817,74,8.0260303688,17.5,"",751,220,654.6,226.3,20.612560375,13.842230147,9.178566583,47.721215801,38.5,31.7,58.837593215,6.9,11.8,"No",13.734191258,11.824932493,1.5420457067,0.8431329044,84.809213736,47147,31.2
"Chambers County, Alabama","Chambers County","01017","00","01","017",4.9411783568,4.8735807661,23.995473603,12.213740458,14,2,6,41.52701,5.94972,17.84917,2.5387676685,15.226316844,185,3041,654,11112.536614,25,654,10,87.568741462,511.62651724,9.8842553696,22,8.1061164333,19.9,"",206,111,611,387.7,19.392927053,12.745734617,10.328558281,61.864679234,40.1,30.1,71.121351767,6.4,11.4,"No",15.9566787,12.377079482,4.036101083,0.9386281588,85.252848013,14396,31.8
"Cherokee County, Alabama","Cherokee County","01019","00","01","019",4.7756141014,4.7112704225,20.698470599,8.2725060827,10,5,4,38.67425,19.20713,15.3657,3.1390977444,13.940332682,167,2070,568,12349.707594,13,568,10,63.722366551,545.23369024,12.884273456,,,15.2,"",83,26,321,116.9,17.498673785,14.106562852,0.2211124003,33.429527877,35,31.3,61.606243706,8.3,11.4,"No",13,11.152073733,1.5,0.5,83.114465929,9671,46.1
"Chilton County, Alabama","Chilton County","01021","00","01","021",4.7733822963,4.8532441372,21.185462911,8.6979166667,9,23,13,20.42345,52.09159,29.44307,4.3996672521,17.504683975,476,4578,829,10019.3128,25,829,16,59.180001894,519.63080554,12.106445926,26,6.8674062335,18.6,"",156,40,354,110.2,20.188979064,14.509374576,1.4605309614,46.293792819,37.7,33.2,60.770031217,8.1,11.2,"No",13.29723225,10.660606061,2.8880866426,0.8122743682,83.564828268,17207,50.3
"Choctaw County, Alabama","Choctaw County","01023","00","01","023",4.9332046304,4.9878824765,24.863531285,11.018711019,5,,6,38.62495,,46.72533,3.517215846,14.113012768,95,1039,269,12479.822147,,269,,,536.1178615,,,,17.4,"",73,26,563.9,231.5,18.79324829,11.642290616,7.2904190524,28.934266542,41.3,36.2,76.97320782,6.4,10.1,"Yes",11.061151079,8.8397790055,1.3489208633,1.2589928058,82.146317829,4128,44
"Clarke County, Alabama","Clarke County","01025","00","01","025",5.127337236,5.0837367294,25.23508481,13.108038914,13,17,7,53.97999,71.07023,29.26421,2.850877193,15.315508021,156,2148,438,11144.037371,20,438,,94.064528266,492.46124259,,,,22.4,"",155,33,643.6,159.5,20.579655316,11.869010519,11.154712303,25.270003484,34.1,34.6,71.542979178,5.4,10.4,"No",12.035583464,11.131746953,1.5070643642,0.4709576138,88.285296852,7529,35
"Clay County, Alabama","Clay County","01027","00","01","027",4.9589695308,4.9829276834,23.795917414,9.3561368209,5,2,2,37.40555,15.06591,15.06591,4.3386983905,17.218458392,124,1347,275,10461.83432,,275,,,530.99856311,,,,13.5,"",62,20,463.8,174.2,19.620354153,13.286503658,2.3268798802,63.781223084,40.6,32.6,63.474620617,7.8,10.6,"Yes",11.18359739,8.3143939394,0.9133271202,2.2367194781,89.902340151,5427,37.3
"Cleburne County, Alabama","Cleburne County","01029","00","01","029",4.546700394,4.8672154562,19.284407812,8.5209003215,4,6,,26.84564,40.0347,,4.5954327601,16.840135657,163,1440,305,11087.984454,10,305,,72.785501128,537.92248086,,,,12.5,"",28,15,187.9,120.3,18.374465772,14.462966516,2.0717157696,41.48410366,37.3,31.3,59.59752322,8,11,"No",12.93916024,10.732984293,1.7137960583,1.4567266495,81.363211951,5355,55.5
"Coffee County, Alabama","Coffee County","01031","00","01","031",4.4201197865,4.5674364995,19.425826811,8.3085374228,28,34,18,53.97694,65.49924,34.67607,3.796875,15.286789515,486,4712,797,8175.3623921,18,797,12,36.806805169,429.80914405,7.7414859782,27,6.0715088824,16.1,"",303,65,584.1,152.5,17.444757594,15.183294249,5.9812031395,53.723872828,34.2,30.8,48.376656215,7.5,10.9,"No",12.103225806,10.502997133,1.3935483871,0.5935483871,86.598724971,22274,26.8
"Colbert County, Alabama","Colbert County","01033","00","01","033",4.6086376267,4.5824058974,20.914454347,10.226746876,35,19,25,64.22018,34.69559,45.65209,2.8850978424,12.121306087,345,3909,1044,10644.992124,31,1044,11,67.375192889,510.43682764,6.7287341416,38,9.0952608904,16.2,"",287,46,526.6,99.7,18.658821061,14.697592905,6.5517045351,55.732343647,30.6,36.6,51.92165558,7.4,10.7,"No",13.729925356,12.753955515,0.6785795069,0.8595340421,90.214732264,22074,27.6
"Conecuh County, Alabama","Conecuh County","01035","00","01","035",5.4337528108,5.3914879643,28.608747789,14.064115822,5,8,2,40.09945,65.1625,16.29062,2.9643527205,15.334374556,79,1080,262,10822.452428,,262,,,528.82229203,,,,25.9,"",83,33,665.7,310.4,21.107512965,12.042707635,13.229776262,37.019957666,43,40.7,70.969387755,5.6,10.3,"No",13.359528487,10.922587487,2.0432220039,2.1611001965,89.447884417,3876,33.5
"Coosa County, Alabama","Coosa County","01037","00","01","037",5.0890163223,5.1021191231,24.919103283,13.692307692,,1,,,9.33271,,3.8882803943,15.532754538,71,984,217,12691.204176,10,217,,136.63068725,500.54755522,,,,20.8,"",52,14,483.5,146.7,20.399965623,12.670540333,10.124807485,6.4217003207,40.3,35.3,65.265486726,6.9,11,"Yes",14.625445898,11.432009627,1.6646848989,2.0214030916,83.979974969,3995,40.6
"Covington County, Alabama","Covington County","01039","00","01","039",4.6819404519,4.9065509126,22.668806251,10.345942451,19,24,14,51.22398,64.88942,37.85216,3.706360593,15.291560344,310,3236,780,11418.122816,26,780,,79.377194321,546.12854034,,20,6.4370775668,15.3,"",190,49,512.2,155.5,19.249451541,13.500302181,4.3703267511,50.234343969,31.7,35.5,56.707912732,7.6,10.5,"No",12.845849802,10.366879838,1.581027668,1.3175230567,87.524644775,14709,28.5
"Crenshaw County, Alabama","Crenshaw County","01041","00","01","041",4.7414560381,4.8952137157,22.146936238,10.087293889,2,8,2,14.41857,57.87037,14.46759,3.8752649107,15.606361829,128,1256,290,9944.64447,,290,,,535.43847355,,,,18.2,"",110,26,793,223.5,18.646929565,14.617009895,17.03906038,22.35006472,38,33.5,64.26690079,6.2,10.7,"No",9.9539170507,9.022556391,0.7188940092,0.3686635945,81.729904693,5561,41.4
"Cullman County, Alabama","Cullman County","01043","00","01","043",4.6814213739,4.8876023362,21.786493693,8.32852194,46,113,41,55.58577,135.42341,49.13593,3.3864852231,16.221000844,652,7880,1501,10182.18218,32,1501,57,43.072698639,493.62351555,22.922129104,40,5.8711287245,19.3,"",193,54,233.2,78.2,17.901071221,14.887181459,3.1096062497,41.65360794,36.9,36.7,50.773337521,8.2,11.6,"No",12.306949807,10.144206862,1.7535392535,1.2065637066,87.56887474,32668,32.9
"Dale County, Alabama","Dale County","01045","00","01","045",5.0212640196,4.796090897,23.433107031,8.4767923295,9,46,17,18.28302,93.96192,34.72506,2.5373771892,12.489711934,297,3642,859,10467.436009,34,859,10,74.584302198,500.93101771,6.7838923261,31,6.7056024227,15.8,"",368,100,747.6,244.1,20.057394929,14.537961368,10.559380333,46.387136574,37.2,32,62.593072192,6.7,11,"No",13.620643788,12.232746955,1.4631550944,0.6650704975,85.678016726,20088,24.8
"Dallas County, Alabama","Dallas County","01047","00","01","047",5.6268779752,5.5911128935,29.826897822,13.942307692,29,23,12,73.95129,60.03654,31.32341,2.1684737281,13.707675944,208,3093,918,14717.166071,19,918,,48.937540245,663.93191481,,24,6.4952638701,15.9,"",373,140,951.2,422.2,24.088991007,11.338256451,11.556270932,59.637151985,43.1,26.9,81.377393453,4.6,11.1,"No",20.99378882,17.608274079,4.4409937888,1.6459627329,86.376956615,13991,26.6
"DeKalb County, Alabama","DeKalb County","01049","00","01","049",5.2677081423,5.0044055833,25.958981492,8.2948520609,30,19,20,41.8895,26.61624,28.01709,4.1521534804,22.811601151,751,9517,1302,10747.783715,43,1302,59,61.771846404,513.59820053,27.582724799,42,7.2202166065,12.8,"",198,52,276.5,88.3,21.028270793,12.458249532,2.1669646088,45.037899563,29.2,31.7,68.662493823,8.2,11.3,"No",11.084240226,8.188844788,2.8819024587,0.7456670697,85.663741862,28264,31.5
"Elmore County, Alabama","Elmore County","01051","00","01","051",4.2962096766,4.6636068396,18.633862824,9.2389649924,21,14,13,25.71103,17.09673,15.87554,2.7487601562,11.002439755,521,5141,1229,8762.5525693,43,1229,24,58.499421808,431.00084919,9.7814258874,46,6.9069069069,15.8,"",440,152,538.7,222,17.45250185,15.852900191,6.9430217138,51.730703756,34.3,26.4,48.771956505,7.6,11.9,"No",11.370716511,9.717097171,1.1422637591,0.7615091727,86.742897981,33582,46.1
"Escambia County, Alabama","Escambia County","01053","00","01","053",5.2194029367,5.1854976645,26.054891893,9.4506213211,13,21,14,34.71573,57.14597,38.09731,3.5600986958,18.948493485,303,3723,822,12227.375778,26,822,33,78.113264233,609.0333251,29.484556347,27,8.9374379345,18.8,"",177,70,472.7,222.1,22.412584583,12.975168361,7.2199400283,48.130170412,39.4,32.4,68.358154072,6.6,10.2,"No",11.821204285,9.5993776741,2.2903583303,1.1082379017,91.557629802,11999,29
"Etowah County, Alabama","Etowah County","01055","00","01","055",4.9190216937,4.8363138983,21.483864058,9.0078171978,83,124,53,80.77466,120.97443,51.70681,2.9188481675,15.963500622,669,9622,2201,11905.222386,65,2201,78,72.92882147,571.45129144,25.339484114,68,8.3476552909,15.7,"",722,163,702.6,187.3,20.147398601,14.030530522,9.4006166263,49.494398161,35.5,34.1,58.093053735,7.1,11.5,"No",11.222165992,9.4846420769,1.6194331984,0.5187246964,85.483675791,41319,28.6
"Fayette County, Alabama","Fayette County","01057","00","01","057",4.9275311898,4.9761402811,22.19934392,10.04048583,16,2,5,97.15812,12.17063,30.42658,3.1085206772,14.528281864,112,1369,342,9720.775126,,342,,,518.61536026,,,,23.3,"",45,14,273.3,99.5,18.001593256,13.518523943,1.3544586987,34.162751581,41,33.7,61.545064378,7.9,10.6,"Yes",12.335766423,10.412660849,1.3868613139,1.0218978102,85.879923761,6296,40.6
"Franklin County, Alabama","Franklin County","01059","00","01","059",5.2165879485,5.1820135463,25.368021469,9.9458728011,14,3,8,44.4515,9.56541,25.50776,4.2582764721,19.867693309,337,3664,531,10155.227272,20,531,,64.699792961,491.58102343,,,,14.8,"",83,14,263.5,53.8,19.250583044,13.37365231,4.1206193939,58.147236942,34.3,38.1,68.732715146,7.9,10.5,"No",12.954253955,8.6002632734,4.1043180847,0.9405728944,83.211964607,12771,37.6
"Geneva County, Alabama","Geneva County","01061","00","01","061",5.0205031528,5.0139062509,23.084669296,8.0910852713,8,5,2,30.27894,19.00129,7.60052,3.3743351064,18.147149714,203,2760,569,11145.173201,17,569,14,72.565842831,552.91344004,17.643574588,,,16.9,"",111,34,420.1,151.9,20.003603276,13.722139578,0.9307847981,20.205300485,38.7,36.8,59.229614807,7.8,10.6,"No",10.18301267,8.5031085605,1.6893477241,0.5161895824,83.679854663,9908,40.5
"Greene County, Alabama","Greene County","01063","00","01","063",5.9347876519,5.4635014981,33.985155643,14.862914863,4,1,1,48.01921,12.14624,12.14624,2.824551874,14.687699851,52,689,184,11618.619777,,184,,,570.70560123,,,,14.5,"",78,27,936.4,378.7,24.632818706,9.5715759609,21.342475717,6.2244333886,35.5,18.3,85.474860335,3.2,10.5,"No",19.323671498,16.271186441,3.2206119163,2.5442834138,82.21415608,2204,42.2
"Hale County, Alabama","Hale County","01065","00","01","065",5.4154380997,5.2551295516,27.902570328,13.449023861,3,2,2,20.25385,13.58142,13.58142,2.7424370936,13.679745493,97,1161,312,12327.018415,13,312,,93.296971437,584.01010754,,,,17.8,"",165,54,1114,436,22.077291339,11.404598069,4.6475069881,29.898477157,40.4,27.8,77.677873339,6.1,10.8,"No",16.554621849,13.436426117,2.8403361345,0.9075630252,88.396793587,4990,49.5
"Henry County, Alabama","Henry County","01067","00","01","067",4.6966737413,4.7585722287,21.419262062,9.8509933775,5,2,5,29.15962,11.62183,29.05456,3.6180631121,15.305598356,133,1490,332,9242.4857316,,332,,,465.98898866,,,,16.6,"",90,31,524.9,212,18.429845441,13.80933082,2.1421679703,25.309212808,36.3,35.4,57.484787018,7.9,10.9,"No",10.688140556,9.5593726662,0.878477306,0.5710102489,87.196371086,6834,37.1
"Houston County, Alabama","Houston County","01069","00","01","069",4.6656889695,4.7669545639,20.269797095,10.519366197,88,151,70,84.33481,144.19129,66.84364,2.4494228371,14.437049452,609,8872,1637,9647.1905115,87,1637,41,89.483157624,440.51539181,13.093854192,88,9.8313037649,13.5,"",614,319,588.4,366.5,19.249782785,13.523701774,6.2826059381,66.544555723,38.1,30.6,64.209985221,7.1,10.7,"No",13.451035184,12.369032258,1.2193572971,0.4064524324,88.400027456,43707,25.8
"Jackson County, Alabama","Jackson County","01071","00","01","071",5.0329273964,5.0659560823,23.244761808,8.948035488,28,24,18,53.94055,46.38936,34.79202,3.3892321271,16.490472461,384,5054,1126,11088.146204,26,1126,16,59.011779659,550.53203392,10.270697059,35,8.9720584466,16.5,"",137,33,263.9,74.3,19.958920884,13.492016278,3.2725105417,47.190335732,38.7,29.1,57.1213263,7.9,11,"No",10.804712961,8.2136375421,2.0305841063,1.0278265229,86.298609712,19852,37.1
"Jefferson County, Alabama","Jefferson County","01073","00","01","073",4.4108897663,4.7365444738,19.696302144,11.328534031,709,1166,582,107.5551,176.85424,88.27544,3.1283384604,12.695996769,4861,50299,11214,10969.508203,510,11214,594,84.254070628,500.81878142,30.030060394,648,10.544815466,12.9,"",6031,3414,914.9,621.1,17.622045263,14.68864353,12.271590614,78.627749952,34.6,30.1,52.876546327,6.3,13.4,"No",16.762486868,15.387608966,1.3752268169,0.9282781014,83.718694322,297470,33.1
"Lamar County, Alabama","Lamar County","01075","00","01","075",5.2104859536,5.147942525,24.255310984,9.5463137996,,2,3,,14.44669,21.67004,3.9084842707,14.497570954,123,1134,290,11927.627344,,290,,,548.99413209,,,,18.8,"",58,16,415.9,134.9,20.430552004,12.966690472,0.7506765904,10.313100796,35.7,36.5,58.894935119,7.8,10.3,"No",10.648918469,8.4398976982,0.9816971714,1.7470881864,88.245315162,5283,45
"Lauderdale County, Alabama","Lauderdale County","01077","00","01","077",4.6686419817,4.7585484725,20.125833414,9.8630989421,47,143,51,50.78995,154.78368,55.20257,3.0686014459,14.070305781,590,7689,1553,9035.0572587,41,1553,36,55.513431542,448.1761694,12.98499872,46,7.1086385412,13.8,"",396,73,427.9,91.9,16.6560043,13.74675543,5.0380740879,65.492023428,32.5,28.5,49.126809314,7.6,11,"No",12.591240876,11.221384147,1.2122002086,0.6386861314,88.047929622,39558,29
"Lawrence County, Alabama","Lawrence County","01079","00","01","079",4.8827719898,5.0484569202,21.833803124,8.5222830336,5,41,3,15.12905,124.40453,9.10277,4.5448433508,17.454637097,338,3463,666,11825.56396,24,666,16,83.693681127,533.82898643,16.120906801,,,19.3,"",47,23,142.2,81.8,20.18764616,14.331455095,2.1224881728,48.985118961,32.6,36.4,61.274716029,8,11.3,"No",10.623123123,9.1083781706,1.5615615616,0.5255255255,87.221504682,12388,46.4
"Lee County, Alabama","Lee County","01081","00","01","081",4.4909276572,4.6345119933,21.463907829,8.6847121616,85,141,49,52.59771,86.00655,29.8888,3.1442869058,12.776888497,1131,13330,1701,6973.4502895,89,1701,35,64.889614745,356.37386853,7.2234054848,97,7.7124910551,9,"",524,266,324.2,197.7,17.560140407,15.747603232,12.249503723,67.74904276,29.9,21.3,46.932347877,6.4,12.1,"Yes",19.231433506,17.561580719,1.9861830743,0.6822107081,84.423154135,72229,28
"Limestone County, Alabama","Limestone County","01083","00","01","083",4.5193296825,4.7587559265,20.11404561,9.2993630573,32,46,26,33.89759,47.82997,27.03433,3.233256351,14.052032751,728,7929,1258,7722.2085509,46,1258,22,53.567477554,377.45524586,7.7648246385,44,6.1945656765,13.8,"",296,101,313.6,129.5,18.173356594,14.963383147,3.5183538564,60.967360054,33.9,29.3,41.848467897,8.1,11.8,"No",11.301636789,9.0909090909,2.0265003897,0.7170693687,87.644168343,39277,41.2
"Lowndes County, Alabama","Lowndes County","01085","00","01","085",5.4862740346,5.1831278794,30.355910546,14.029180696,1,,,9.92457,,,2.7631578947,13.819350474,63,817,249,15840.441782,10,249,,108.02635843,687.97033951,,,,13.9,"",106,52,1052,606.4,22.615911188,10.353729882,13.062144953,4.867687406,46.9,33.7,96.309192201,4.6,10.9,"No",19.45754717,17.208737864,1.1556603774,2.358490566,85.505952381,3360,61.8
"Macon County, Alabama","Macon County","01087","00","01","087",5.412811684,5.3007402376,29.863338128,13.629402757,7,75,5,37.32338,406.74657,27.11644,2.176578786,13.075953051,71,1348,431,12688.780867,,431,,,615.60827622,,,,23,"",232,83,1237,496.6,21.414696395,10.735045137,21.63866443,31.339735223,49.6,32.3,97.259565667,4,11.7,"Yes",19.89892609,18.028350515,1.5792798484,1.0739102969,83.664613662,7144,37.4
"Madison County, Alabama","Madison County","01089","00","01","089",4.3656225035,4.6548938057,19.257825328,9.7419730665,319,526,199,88.35439,143.51234,54.29459,2.9151720911,11.833237482,2430,26337,4805,8270.3059858,200,4805,185,63.080935995,393.11560371,17.058049002,216,7.4841481584,13.5,"",2258,711,625.4,236.6,16.820172701,15.580258807,7.4673451232,69.313433549,32.9,22,39.471852768,7.5,11.6,"No",11.943551268,10.677959967,1.2504465881,0.671668453,88.067607149,171047,26
"Marengo County, Alabama","Marengo County","01091","00","01","091",5.2854842113,5.2349503959,26.241737437,12.386706949,7,7,5,36.12903,36.71457,26.22469,2.7612105147,12.558474271,125,1396,415,12171.584832,,415,,,587.15582697,,,,17.6,"",155,32,800,195.6,21.356000347,11.869802712,12.628970654,42.935273696,42.2,32.4,67.566165023,5.5,10.6,"No",18.098159509,16.774611399,1.226993865,2.2085889571,89.21446384,6416,33.2
"Marion County, Alabama","Marion County","01093","00","01","093",4.9120180706,4.9478478149,22.256504668,9.4815506773,10,3,5,33.51993,10.07963,16.79938,3.0531996916,14.475942475,198,2446,620,11106.407394,16,620,,63.788223099,536.10616481,,23,11.03117506,20.4,"",89,29,298.3,113.5,19.060203607,14.034900074,3.2545426264,47.033402651,36.8,31.3,57.733097658,7.9,10.5,"Yes",11.133360032,9.3897477624,1.2815378454,0.8810572687,86.133128782,11733,29.5
"Marshall County, Alabama","Marshall County","01095","00","01","095",4.9652343056,5.0519317823,22.394653056,8.130519061,53,234,34,55.4695,243.47356,35.3765,3.6329496285,20.797720798,890,11461,1777,10062.94593,49,1777,42,51.868317985,519.5506984,14.643636643,56,6.148440931,11.8,"",329,90,344.3,115.4,21.017853481,14.196560839,5.187505411,54.418989669,34.4,36.2,61.046959199,8,11.8,"No",13.929193268,10.687768082,3.2066163668,1.0301799187,85.338141067,38549,31.4
"Mobile County, Alabama","Mobile County","01097","00","01","097",4.5277243358,5.154593676,22.399091396,11.822395207,278,382,211,67.15706,92.32472,50.99612,2.7672154646,15.248283052,2780,37589,7126,10464.359728,293,7126,172,74.782289104,495.73038931,13.842523589,361,9.3805217753,14,"",3032,1759,732.4,510.8,19.369969149,15.193298105,10.265925301,70.217582907,36.3,30.6,68.389541369,6.4,10.8,"Yes",16.618047452,14.783243225,1.9350447297,0.7649423052,86.228035515,172096,36.5
"Monroe County, Alabama","Monroe County","01099","00","01","099",5.6737681952,5.2996300729,30.016195849,12.172774869,8,18,5,37.51114,85.44169,23.7338,3.3078354352,16.324551479,160,2020,419,12611.65879,19,419,,99.695665862,549.99488446,,21,13.367281986,18.4,"",123,39,576.7,213.7,23.257538963,11.230333142,12.839526662,51.543263395,41.8,33.7,66.915995397,5,10.4,"No",10.523150932,11.523742027,0.637402285,0.5411906194,91.573476138,6349,32
"Montgomery County, Alabama","Montgomery County","01101","00","01","101",5.0396193448,4.6665803568,23.875086222,12.423542205,221,324,168,97.50889,143.51333,74.41432,2.6611776814,14.337316552,1448,18933,3323,9820.7757858,201,3323,48,94.422496042,445.32371856,7.0717398543,199,9.2442049519,13.9,"",2828,1407,1247.8,749.8,19.68315291,13.851006741,14.572141064,73.784786561,37.7,28.7,71.474131821,5.5,11.9,"No",18.304164821,16.559503666,1.8442622951,0.8916703589,84.564242953,99723,20.8
"Morgan County, Alabama","Morgan County","01103","00","01","103",4.5578163775,4.6675274369,20.554282339,8.768373036,58,172,62,48.81415,144.4298,52.0619,3.0335398419,14.872561583,852,10445,1988,9540.7807595,55,1988,54,50.452235493,463.400906,15.12948316,73,7.5265491288,12.7,"",354,140,297.9,140.7,18.855706149,13.550369498,4.0842018116,59.229224203,32.4,26.6,52.025477707,7.9,11.6,"No",13.440918445,11.376389042,2.0470053071,0.487382216,89.011530502,50735,34.9
"Perry County, Alabama","Perry County","01105","00","01","105",6.4033290959,5.8770634003,35.429054078,14.285714286,3,3,2,32.12335,32.82276,21.88184,2.5552825553,15.054876786,52,727,204,14264.365984,10,204,,123.21340562,647.04292026,,,,15.8,"",112,22,1199.3,272.4,26.003088568,9.6865672713,4.8851175077,52.724010953,43.4,34.6,90.96965211,4.9,10.7,"No",17.8125,14.876033058,4.0625,0.9375,84.103671706,2315,37.9
"Pickens County, Alabama","Pickens County","01107","00","01","107",5.2115490705,5.0023225062,26.593264751,13.012820513,8,3,3,39.65107,15.04664,15.04664,3.454940807,14.614957423,143,1579,327,9794.3919139,18,327,11,111.27596439,440.05589269,18.200469903,24,15.625,15,"",138,49,684,280.7,21.199123041,12.329013326,0.8921588404,5.8847361491,34.9,25.5,72.482435597,7.1,10.5,"No",14.238845144,13.188307274,1.6797900262,0.3280839895,82.098061574,7016,52.8
